报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),214056,162428,162318,150154,143400,111706,
营业收入(万元),214056,162428,162318,150154,143400,111706,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),199083,147154,146390,141973,138514,101618,
营业成本(万元),143976,100396,102212,98952,103387,79743,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),18413,13496,13576,10263,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),1457,1018,824,566,419,530,
销售费用(万元),10848,8175,8484,7510,4572,4050,
管理费用(万元),20694,20285,18628,19531,28344,17013,
财务费用(万元),2489,2891,1937,996,773,684,
资产减值损失(万元),1207,893,728,4154,1020,-401,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),4603,1952,2229,-199,-285,-659,
对联营企业和合营企业的投资收益(万元),3641,1051,-148,-274,-507,-681,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),21519,21104,18147,7986,4601,9429,
营业外收入(万元),1,180,2183,847,877,978,
营业外支出(万元),659,41,326,95,16,45,
非流动资产处置损失(万元),--,--,--,--,10,44,
利润总额(万元),20862,21244,20004,8739,5461,10363,
所得税费用(万元),1125,2312,2724,1181,1726,1300,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),19736,18932,17280,7558,3735,9063,
归属于母公司所有者的净利润(万元),19562,18778,17710,7405,3637,9545,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),174,153,-430,153,98,-482,
基本每股收益,0.53,0.52,0.49,0.21,--,--,
稀释每股收益,0.53,0.52,0.49,0.21,--,--,
