报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),204104,164653,105430,72463,
营业收入(万元),204104,164653,105430,72463,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),181046,145050,91462,62888,
营业成本(万元),137759,110092,69893,47444,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),4739,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),1494,1148,815,552,
销售费用(万元),28580,24693,14540,10377,
管理费用(万元),7214,8203,5097,4004,
财务费用(万元),252,359,2,110,
资产减值损失(万元),1009,554,1115,401,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),78,51,52,-9,
对联营企业和合营企业的投资收益(万元),--,--,--,-17,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),23891,19720,14020,9512,
营业外收入(万元),240,267,308,282,
营业外支出(万元),259,16,28,12,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),23872,19971,14300,9782,
所得税费用(万元),5322,5314,3749,2608,
未确认投资损失(万元),--,--,--,--,
净利润(万元),18550,14656,10551,7174,
归属于母公司所有者的净利润(万元),18550,14656,10551,7174,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),--,--,--,--,
基本每股收益,2.06,2.3,10.45,7.17,
稀释每股收益,2.06,2.3,10.45,7.17,
