报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),110364,109593,112214,70747,68602,79615,92519,105954,92390,83202,75397,48223,27746,9848,
营业收入(万元),110364,109593,112214,70747,68602,79615,92519,105954,92390,83202,75397,48223,27746,9848,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),136537,119822,109644,81535,88860,72571,80450,88251,77127,70126,64345,40347,25096,9001,
营业成本(万元),94895,87107,82661,55038,62154,58137,65258,73923,63318,57619,55513,35107,21594,7926,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),5851,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1862,1615,842,323,201,317,893,417,789,806,467,176,123,47,
销售费用(万元),4636,4738,4772,4101,3661,2636,2450,1780,1540,1368,720,1029,1152,45,
管理费用(万元),15632,16851,17701,15565,16863,11463,13074,11397,7918,8208,6701,3474,1844,855,
财务费用(万元),9280,7645,1994,4933,5808,1650,1432,353,1038,-912,221,141,112,44,
资产减值损失(万元),4380,1865,1674,1574,174,-1631,-2657,381,2524,3036,724,420,270,84,
公允价值变动收益(万元),100,--,--,--,--,--,-4,26,--,--,--,--,--,--,
投资收益(万元),21789,24421,10662,19708,31989,1582,124,2695,-9,-24,-7,33,--,--,
对联营企业和合营企业的投资收益(万元),21057,18266,10471,12778,15622,--,--,-11,-9,-24,-7,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),18251,15276,13233,8920,11731,8626,12189,20424,15254,13052,11045,7909,2650,847,
营业外收入(万元),634,98,628,1120,752,1646,2661,1439,991,1364,2221,1287,227,26,
营业外支出(万元),165,691,103,86,121,137,147,216,136,133,163,109,52,21,
非流动资产处置损失(万元),--,--,15,0,5,5,1,3,--,11,31,20,6,1,
利润总额(万元),18720,14683,13757,9953,12362,10135,14704,21647,16109,14283,13103,9086,2825,852,
所得税费用(万元),5425,2147,1336,-100,1878,1167,1488,3309,2338,1558,1089,1027,288,158,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),13295,12536,12422,10054,10484,8967,13215,18338,13771,12725,12014,8059,2538,694,
归属于母公司所有者的净利润(万元),10985,8654,6432,7095,10121,9146,12771,18144,13860,12727,12011,8073,2538,694,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),2311,3882,5989,2959,364,-179,444,194,-88,-1,3,-14,--,--,
基本每股收益,0.06,0.04,0.03,0.04,0.07,0.08,0.21,0.61,0.96,0.89,1.01,0.79,0,0,
稀释每股收益,0.06,0.04,0.03,0.04,0.07,0.08,0.21,0.61,0.96,0.89,0.84,0.79,0,0,
