报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),66855,36159,25498,25044,33180,30407,36537,41946,30176,24267,23360,
营业收入(万元),66855,36159,25498,25044,33180,30407,36537,41946,30176,24267,23360,
利息收入(万元),--,--,--,--,--,0,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,0,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,0,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),54261,37993,27104,25938,33858,31079,34531,36751,25440,20823,19369,
营业成本(万元),41384,29082,19212,19072,26813,25195,28265,30192,20237,16361,15269,
利息支出(万元),--,--,--,--,--,0,0,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,0,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1523,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,0,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,0,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,0,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,0,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,0,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),712,289,353,276,210,148,128,183,98,147,125,
销售费用(万元),2816,2130,1788,1660,2557,2238,2159,2095,1695,1551,1200,
管理费用(万元),4833,5762,4996,4304,4001,3420,4298,3775,2897,2252,2643,
财务费用(万元),81,257,237,22,-530,-414,-520,392,385,33,125,
资产减值损失(万元),2913,473,519,604,808,493,201,115,128,478,8,
公允价值变动收益(万元),--,--,--,--,--,0,0,--,--,--,--,
投资收益(万元),1939,1748,1938,1540,792,50,45,6,0,0,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,0,0,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,0,0,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),15044,557,331,646,114,-621,2051,5201,4736,3445,3992,
营业外收入(万元),137,138,64,73,217,884,1116,881,1398,106,238,
营业外支出(万元),244,183,9,8,3,21,0,--,26,27,24,
非流动资产处置损失(万元),--,--,2,1,0,0,0,--,--,--,--,
利润总额(万元),14936,512,387,710,328,242,3167,6082,6109,3524,4206,
所得税费用(万元),3570,60,164,96,57,74,384,819,875,7,2,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),11366,452,223,614,271,168,2783,5262,5234,3516,4204,
归属于母公司所有者的净利润(万元),7848,452,224,628,303,168,2783,5262,5234,3516,4204,
被合并方在合并前实现净利润(万元),--,--,--,--,--,0,0,--,--,--,--,
少数股东损益(万元),3518,--,-1,-14,-32,0,0,--,--,--,--,
基本每股收益,0.57,0.04,0.02,0.05,0.02,0.01,0.22,0.55,0.65,0.44,0.53,
稀释每股收益,0.57,0.04,0.02,0.05,0.02,0.01,0.22,0.55,0.65,0.44,0.53,
