报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),155337,101791,79552,10694,20033,36370,39513,29432,22180,
营业收入(万元),155337,101791,79552,10694,20033,36370,39513,29432,22180,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),96721,54531,45172,9590,16804,28436,31286,24101,18470,
营业成本(万元),20898,21317,17768,7039,13729,23233,25528,19792,14566,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),949,631,313,128,159,255,140,76,97,
销售费用(万元),58296,23086,14060,672,1124,1478,2101,1496,1303,
管理费用(万元),15389,11071,10568,2367,2665,3854,3000,2195,2226,
财务费用(万元),7,-1106,1,-840,-1079,-469,500,445,342,
资产减值损失(万元),1181,-468,2462,224,206,85,17,97,-65,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),7423,2524,16,438,--,--,90,68,--,
对联营企业和合营企业的投资收益(万元),-12,--,16,-22,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),66586,49784,34395,1542,3229,7934,8316,5399,3711,
营业外收入(万元),7,498,514,191,901,179,330,220,187,
营业外支出(万元),147,103,324,16,64,90,12,125,86,
非流动资产处置损失(万元),--,7,193,--,13,4,4,66,47,
利润总额(万元),66446,50178,34586,1718,4066,8023,8635,5494,3812,
所得税费用(万元),9679,7320,5278,299,492,1142,1363,708,476,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),56767,42859,29308,1418,3574,6880,7272,4787,3336,
归属于母公司所有者的净利润(万元),56628,42487,29306,1418,3574,6880,7272,4787,3336,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),139,372,2,--,--,--,--,--,--,
基本每股收益,0.58,0.44,0.97,0.18,0.45,0.96,1.21,0.8,0.67,
稀释每股收益,0.58,0.44,0.97,0.18,0.45,0.96,1.21,0.8,0.67,
