报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),63584,54092,37580,35021,37561,39235,37404,26975,
营业收入(万元),63584,54092,37580,35021,37561,39235,37404,26975,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),52674,46183,30751,28776,32826,34432,32807,23642,
营业成本(万元),42747,36502,25161,23972,28655,30878,29572,21390,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),5295,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),687,431,355,353,105,155,149,85,
销售费用(万元),2746,2091,1546,1189,958,905,876,594,
管理费用(万元),2126,6152,4473,3320,2824,2069,1994,1441,
财务费用(万元),-1038,863,-820,-77,181,335,84,106,
资产减值损失(万元),110,144,36,19,104,90,134,27,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),483,27,268,75,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),11738,8433,7097,6321,4735,4803,4597,3333,
营业外收入(万元),506,102,449,448,491,811,783,335,
营业外支出(万元),21,8,8,11,1601,6,11,17,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,
利润总额(万元),12223,8526,7538,6758,3626,5607,5369,3651,
所得税费用(万元),1649,1166,1079,1009,443,843,770,522,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),10575,7361,6459,5749,3182,4765,4599,3129,
归属于母公司所有者的净利润(万元),10562,7416,6489,5749,3182,4765,4599,3129,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),13,-56,-30,--,--,--,--,--,
基本每股收益,0.42,0.46,0.41,0.82,0.53,0.79,0.77,0.54,
稀释每股收益,0.42,0.46,0.41,0.82,0.53,0.79,0.77,0.54,
