报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),241293,211583,199864,170236,147757,128365,123329,
营业收入(万元),241293,211583,199864,170236,147757,128365,123329,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),231043,194248,176130,150357,127657,116849,112205,
营业成本(万元),145782,100697,82861,67419,57458,48468,44671,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),29126,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),2035,2349,2072,1852,1721,1468,1204,
销售费用(万元),34043,37767,41594,37867,32071,28600,26669,
管理费用(万元),15255,50633,44656,39404,34375,35604,37451,
财务费用(万元),2139,147,3350,2200,1456,1060,788,
资产减值损失(万元),2664,2655,1597,1614,576,1649,1421,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),-102,650,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-648,-1,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),14196,23021,23734,19878,20100,11516,11124,
营业外收入(万元),357,230,5659,7690,2398,4348,2246,
营业外支出(万元),610,83,85,55,50,46,53,
非流动资产处置损失(万元),--,--,35,15,12,7,12,
利润总额(万元),13942,23167,29308,27513,22448,15818,13318,
所得税费用(万元),1509,3318,3972,3536,3886,2135,1678,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),12434,19849,25336,23977,18562,13683,11641,
归属于母公司所有者的净利润(万元),12515,19924,25336,23977,18688,13899,11882,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),-81,-75,--,--,-126,-216,-242,
基本每股收益,0.3,0.5,0.7,0.66,0.52,0.38,0.56,
稀释每股收益,0.3,0.5,0.7,0.66,0.52,0.38,0.56,
