报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
营业总收入(万元),77378900,72650200,67589100,69764700,65889200,58963700,53694500,47521400,38082100,30945400,30975800,25415700,18070500,16237800,13934200,12408700,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
利息收入(万元),94809400,86159400,79148000,87177900,84987900,76711100,72143900,58958000,46276200,40587800,44057400,35728700,27164900,23459200,19876900,18294900,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金收入(万元),16234700,15866600,16471400,16167000,14667800,13455000,11588100,10907700,7800800,5904200,4671100,3743900,1852900,1237600,978000,705900,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
其他业务收入(万元),5287900,5409100,4168000,3129000,2360000,1445600,462200,137400,11400,-7100,29300,27700,78400,345200,228700,124300,
营业总成本(万元),40260200,36466000,31557600,33811200,29928000,25259100,22948700,20421400,16633400,14346000,16622700,14097200,10979300,7071200,5533700,5421500,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
利息支出(万元),37557600,33951600,31963400,36391200,35635700,32377600,30361100,22681600,15901300,16005700,17753700,13282200,10810700,8659900,7016100,6636100,
手续费及佣金支出(万元),1704600,1904100,1974100,1827900,1418100,1222400,981700,752700,516800,389500,270900,305500,218500,183000,157200,143500,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
其他业务成本(万元),4818600,5170300,3520700,3097600,2493900,1154900,734000,462000,28400,38100,42800,142400,171600,--,0,0,
营业税金及附加(万元),778100,746500,1731900,4232000,4135100,3744100,3506600,2887500,2148400,1815700,1876500,1451100,1141900,941900,827000,727900,
销售费用(万元),18504100,17772300,17515600,17782300,17626100,16528000,15333600,13959800,11657800,10170300,9150600,8763100,6446900,6129300,4706700,4693600,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
资产减值损失(万元),16159400,12776900,8789400,8699300,5672900,3832100,3374500,3112100,2798800,2321900,5552800,3740600,3218900,2701400,3085900,3629300,
公允价值变动收益(万元),-692000,-84000,416800,279600,68000,-15100,-37100,-21100,10800,-10100,-7100,-12800,-1200,--,0,0,
投资收益(万元),1882100,1192700,1002000,1040900,492000,307800,470700,833700,327500,990400,334800,204000,137600,38700,23900,63200,
对联营企业和合营企业的投资收益(万元),308900,295000,260400,233000,215700,209700,265200,244400,214600,198700,197800,1600,1300,--,0,0,
汇兑收益(万元),-881000,-37900,320400,189400,367300,659300,409500,140000,73500,-124600,-85100,-688100,-132900,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
营业利润(万元),37118700,36184200,36031500,35953500,35961200,33704600,30745800,27100000,21448700,16599400,14353100,11318500,7091200,9166600,8400500,6987200,
营业外收入(万元),252900,380500,360100,439200,306200,291000,276700,245100,235700,221300,283400,326000,224400,--,0,20700,
营业外支出(万元),130300,100600,63700,69200,106200,141900,153800,114000,141800,95900,106400,133100,153500,177600,0,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
利润总额(万元),37241300,36464100,36327900,36323500,36161200,33853700,30868700,27231100,21542600,16724800,14530100,11511400,7162100,6287600,5431100,3378600,
所得税费用(万元),7369000,7719000,8417300,8551500,8532600,7557200,6999600,6386600,4940100,3789800,3415000,3312400,2218500,2500700,2319300,1129200,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
净利润(万元),29872300,28745100,27910600,27772000,27628600,26296500,23869100,20844500,16602500,12935000,11115100,8199000,4943600,3786900,3111800,2249400,
归属于母公司所有者的净利润(万元),29767600,28604900,27824900,27713100,27581100,26264900,23853200,20826500,16515600,12859900,11076600,8125600,4881900,3740500,3076300,2237400,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
少数股东损益(万元),104700,140200,85700,58900,47500,31600,15900,18000,86900,75100,38500,73400,61700,46400,35500,12000,
基本每股收益,0.82,0.79,0.77,0.77,0.78,0.75,0.68,0.6,0.48,0.39,0.33,0.24,0.17,--,0,0,
稀释每股收益,0.82,0.79,0.77,0.77,0.78,0.74,0.67,0.59,0.48,0.39,0.33,0.24,0.17,--,0,0,
