报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),41200,44921,32170,18161,17498,12291,5316,
营业收入(万元),41200,44921,32170,18161,17498,12291,5316,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),37962,34864,20707,14078,13296,9462,4933,
营业成本(万元),23919,23539,13846,7998,8475,5849,2488,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),11920,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),169,73,80,41,61,36,48,
销售费用(万元),877,526,591,457,527,284,70,
管理费用(万元),3654,9942,7137,5445,4276,3247,2338,
财务费用(万元),-2633,721,-965,-310,-58,48,-13,
资产减值损失(万元),56,64,19,446,16,-2,3,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),990,94,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),4254,10151,11462,4083,4202,2828,383,
营业外收入(万元),994,1288,469,172,81,420,1039,
营业外支出(万元),11,31,12,0,--,--,0,
非流动资产处置损失(万元),--,--,10,0,--,--,0,
利润总额(万元),5237,11408,11919,4254,4283,3248,1422,
所得税费用(万元),611,844,933,568,503,357,113,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),4626,10564,10986,3687,3781,2891,1309,
归属于母公司所有者的净利润(万元),5450,10606,11184,3736,3781,2891,1309,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),-823,-42,-198,-49,--,--,--,
基本每股收益,1.23,2.49,3.36,1.12,1.24,0.96,0.44,
稀释每股收益,1.23,2.49,3.36,1.12,1.24,0.96,0.44,
