报告日期,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),67176,57517,44939,33877,
营业收入(万元),67176,57517,44939,33877,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),54651,46850,40650,31068,
营业成本(万元),36329,31231,26284,19028,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),--,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),213,147,120,265,
销售费用(万元),9484,8438,6457,4590,
管理费用(万元),8406,6871,7273,7025,
财务费用(万元),224,21,19,87,
资产减值损失(万元),-6,142,498,71,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),-11,-20,-0,--,
对联营企业和合营企业的投资收益(万元),-11,-20,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),12514,10646,4288,2809,
营业外收入(万元),58,161,346,8,
营业外支出(万元),61,88,87,477,
非流动资产处置损失(万元),26,48,--,3,
利润总额(万元),12512,10719,4547,2340,
所得税费用(万元),2719,2005,841,977,
未确认投资损失(万元),--,--,--,--,
净利润(万元),9793,8713,3706,1363,
归属于母公司所有者的净利润(万元),9632,8414,3600,1681,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),161,299,105,-318,
基本每股收益,0.8,0.7,0.3,0.14,
稀释每股收益,0.8,0.7,0.3,0.14,
