报告日期,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),1034345,957599,676227,508684,421871,
营业收入(万元),1034345,957599,676227,508684,421871,
利息收入(万元),--,0,--,--,--,
已赚保费(万元),--,0,--,--,--,
手续费及佣金收入(万元),--,0,--,--,--,
房地产销售收入(万元),--,0,--,--,--,
其他业务收入(万元),--,0,--,--,--,
营业总成本(万元),1018693,932910,664100,503055,415768,
营业成本(万元),951725,872555,619186,460958,379786,
利息支出(万元),--,0,--,--,--,
手续费及佣金支出(万元),--,0,--,--,--,
房地产销售成本(万元),--,0,--,--,--,
研发费用(万元),--,0,--,--,--,
退保金(万元),--,0,--,--,--,
赔付支出净额(万元),--,0,--,--,--,
提取保险合同准备金净额(万元),--,0,--,--,--,
保单红利支出(万元),--,0,--,--,--,
分保费用(万元),--,0,--,--,--,
其他业务成本(万元),--,0,--,--,--,
营业税金及附加(万元),33558,31868,22212,16516,13522,
销售费用(万元),278,254,221,2246,2112,
管理费用(万元),22806,20716,15187,18165,17372,
财务费用(万元),8130,5028,5710,3300,3067,
资产减值损失(万元),2195,2489,1584,1870,-90,
公允价值变动收益(万元),--,0,--,--,--,
投资收益(万元),4492,-7964,396,4186,3391,
对联营企业和合营企业的投资收益(万元),4492,470,316,3483,4536,
汇兑收益(万元),--,0,--,--,--,
期货损益(万元),--,0,--,--,--,
托管收益(万元),--,0,--,--,--,
补贴收入(万元),--,0,--,--,--,
其他业务利润(万元),--,0,--,--,--,
营业利润(万元),20144,16724,12523,9814,9494,
营业外收入(万元),1279,1187,489,339,371,
营业外支出(万元),169,269,284,196,1112,
非流动资产处置损失(万元),165,88,181,129,1005,
利润总额(万元),21255,17642,12728,9957,8753,
所得税费用(万元),3557,5235,3127,1107,1200,
未确认投资损失(万元),--,0,--,--,--,
净利润(万元),17698,12407,9601,8850,7553,
归属于母公司所有者的净利润(万元),17441,12139,9886,8689,7178,
被合并方在合并前实现净利润(万元),--,0,--,--,--,
少数股东损益(万元),257,268,-285,161,375,
基本每股收益,0.43,0.3,0.24,0.21,0.18,
稀释每股收益,0.43,0.3,0.24,0.21,0.18,
