报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),94210,61541,39171,27295,
营业收入(万元),94210,61541,39171,27295,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),67370,49245,28552,22587,
营业成本(万元),57049,35846,23834,19295,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),3062,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),749,541,228,76,
销售费用(万元),4160,2683,1765,1362,
管理费用(万元),2289,9429,2540,1881,
财务费用(万元),62,619,-92,-193,
资产减值损失(万元),--,126,278,167,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),194,46,120,34,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),26645,12340,10739,4736,
营业外收入(万元),413,631,107,78,
营业外支出(万元),1,13,381,--,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),27057,12959,10465,4815,
所得税费用(万元),3822,2685,1531,668,
未确认投资损失(万元),--,--,--,--,
净利润(万元),23235,10274,8934,4147,
归属于母公司所有者的净利润(万元),23235,10274,8934,4147,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),--,--,--,--,
基本每股收益,2.58,1.64,2.98,1.38,
稀释每股收益,2.58,1.64,2.98,1.38,
