报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),63020,61144,51849,47271,40529,44278,47959,64532,67324,45305,31778,50634,60601,62845,
营业收入(万元),63020,61144,51849,47271,40529,44278,47959,64532,67324,45305,31778,50634,60601,62845,
利息收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
营业总成本(万元),58913,55508,48003,44434,38139,40092,42877,66331,79695,51021,46429,58046,115179,91808,
营业成本(万元),42974,42091,36128,34528,30150,31335,34293,48987,54915,34932,25669,42227,56334,64131,
利息支出(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
研发费用(万元),1979,--,--,--,--,--,--,--,--,0,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
营业税金及附加(万元),256,367,299,185,144,411,429,578,364,161,116,125,95,67,
销售费用(万元),2749,2625,2815,2115,1632,1926,2046,3006,1935,2012,2185,3152,3256,4359,
管理费用(万元),9868,10013,8495,7747,5790,5497,5633,6263,7820,7005,6269,5156,9304,9546,
财务费用(万元),796,250,111,-264,490,1034,732,5067,7854,77364,10486,10100,7269,7063,
资产减值损失(万元),292,163,155,123,-67,-110,-256,2429,6808,-825,1705,-2714,38920,6642,
公允价值变动收益(万元),--,--,--,--,--,--,--,-10,-7,0,--,--,0,--,
投资收益(万元),992,116,-65,89,-56,--,--,30779,-126,-84,-43,3951,1,-10,
对联营企业和合营企业的投资收益(万元),992,-246,-346,-11,-56,--,--,--,--,0,--,--,0,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
营业利润(万元),5211,5824,3781,2926,2335,4186,5082,28971,-12503,-5800,-14694,-3461,-54577,-28973,
营业外收入(万元),4886,33,171,276,1105,2807,467,11834,452,7438,3044,5489,46,245,
营业外支出(万元),101,137,47,748,725,665,637,482,52,203,206,80,27111,753,
非流动资产处置损失(万元),--,--,4,13,4,3,16,466,25,13,104,9,10,531,
利润总额(万元),9996,5720,3905,2455,2714,6328,4912,40323,-12104,1435,-11856,1948,-81642,-29481,
所得税费用(万元),2087,1010,1273,952,896,821,1223,-490,1023,237,159,288,144,246,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,
净利润(万元),7909,4710,2632,1503,1818,5507,3689,40812,-13127,1198,-12014,1660,-81786,-29727,
归属于母公司所有者的净利润(万元),7917,4710,2632,1503,1818,5507,3689,40909,-12364,957,-11406,1754,-80110,-28949,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,0,--,--,0,--,--,--,--,
少数股东损益(万元),-8,--,--,--,--,--,--,-96,-763,241,-608,-94,-1676,-778,
基本每股收益,0.18,0.1,0.06,0.03,0.04,0.15,0.1,1.28,-0.41,0.03,-0.37,0.06,-3.29,-1.19,
稀释每股收益,0.18,0.1,0.06,0.03,0.04,0.15,0.1,1.28,-0.41,0.03,-0.37,0.06,-3.29,-1.19,
