报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),147281,141770,114579,87070,85455,71103,
营业收入(万元),147281,141770,114579,87070,85455,71103,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),111450,108435,86486,75861,79051,84170,
营业成本(万元),86535,84227,71256,60731,66380,56663,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),835,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),1158,865,752,538,476,317,
销售费用(万元),--,--,--,--,--,--,
管理费用(万元),8284,8950,7404,6743,5867,6023,
财务费用(万元),12395,12179,8741,6970,7557,8771,
资产减值损失(万元),2243,2214,-1666,879,-1228,12396,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),-1736,-912,-919,832,11408,10132,
对联营企业和合营企业的投资收益(万元),-1736,-912,-919,832,489,592,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),38670,36276,26944,12042,17812,-2936,
营业外收入(万元),258,337,5859,4577,4789,4041,
营业外支出(万元),42,73,118,47,398,63,
非流动资产处置损失(万元),--,--,--,--,318,--,
利润总额(万元),38885,36539,32685,16571,22203,1042,
所得税费用(万元),2771,623,229,416,90,27,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),36114,35917,32455,16156,22114,1015,
归属于母公司所有者的净利润(万元),31464,31177,29225,14223,20046,1463,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),4650,4740,3230,1933,2068,-449,
基本每股收益,0.56,0.62,0.58,0.36,0.69,0.05,
稀释每股收益,--,0.62,0.58,0.36,0.69,0.05,
