报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),483323,407971,330548,256333,205803,175783,152756,119649,
营业收入(万元),483323,407971,330548,256333,205803,175783,152756,119649,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),407225,343511,276673,212458,171094,142975,124535,100252,
营业成本(万元),291560,254162,211121,166897,137433,114632,97776,80344,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),565,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),6353,5416,4040,2510,2048,1775,1535,1027,
销售费用(万元),99876,75665,54889,35983,25954,21288,19986,15073,
管理费用(万元),8876,8205,6760,6562,5680,5205,4783,3269,
财务费用(万元),-1039,-428,-458,256,-128,54,399,456,
资产减值损失(万元),1035,492,321,249,107,22,55,83,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),3046,-207,100,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),82406,65137,53975,43875,34709,32808,28221,19398,
营业外收入(万元),1005,920,2587,1122,617,746,804,333,
营业外支出(万元),967,234,604,261,140,105,177,178,
非流动资产处置损失(万元),--,--,286,103,93,31,46,80,
利润总额(万元),82444,65824,55957,44736,35187,33449,28848,19553,
所得税费用(万元),18229,14496,12402,10041,7892,7989,7332,4971,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),64215,51328,43555,34696,27295,25460,21516,14583,
归属于母公司所有者的净利润(万元),64215,51328,43555,34696,27295,25460,21516,14583,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,
基本每股收益,1.36,1.14,0.97,0.86,0.67,0.63,0.53,0.97,
稀释每股收益,1.36,1.14,0.97,0.86,0.67,0.63,0.53,0.97,
