报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),57678,62401,45463,24303,
营业收入(万元),57678,62401,45463,24303,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),43224,42788,28241,18169,
营业成本(万元),36033,33303,22470,13876,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),2807,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),517,431,323,194,
销售费用(万元),1111,985,617,397,
管理费用(万元),3155,7776,4092,3266,
财务费用(万元),-400,154,104,150,
资产减值损失(万元),--,139,636,286,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),15566,20020,17196,5962,
营业外收入(万元),258,5,45,71,
营业外支出(万元),28,19,60,3,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),15795,20006,17181,6030,
所得税费用(万元),2010,3222,3342,1190,
未确认投资损失(万元),--,--,--,--,
净利润(万元),13785,16783,13839,4840,
归属于母公司所有者的净利润(万元),13785,16783,13839,4840,
被合并方在合并前实现净利润(万元),--,--,--,2773,
少数股东损益(万元),--,--,--,--,
基本每股收益,0.91,1.27,--,--,
稀释每股收益,0.91,1.27,--,--,
