报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),429658,363934,198949,166109,158985,149477,175654,183017,121712,75054,74335,67325,48613,36386,
营业收入(万元),425513,358842,192599,158438,151740,139853,166114,174908,116338,72383,74335,67325,48613,36386,
利息收入(万元),4123,4831,6322,7612,7106,9498,9292,7900,5337,2367,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
手续费及佣金收入(万元),22,260,28,59,140,126,248,209,36,304,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
营业总成本(万元),394048,303958,171273,140493,136688,131522,159772,166182,108578,69358,72413,63457,45515,34625,
营业成本(万元),345493,272675,151508,125689,121729,120596,147578,156890,102642,65918,67002,60683,43455,33455,
利息支出(万元),391,171,495,963,1127,1109,874,899,430,14,--,0,--,--,
手续费及佣金支出(万元),75,3,10,21,2,12,11,2,--,1,--,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
研发费用(万元),22617,--,--,--,--,--,--,--,--,--,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
营业税金及附加(万元),1278,1177,729,575,451,488,491,370,188,88,5,4,2,2,
销售费用(万元),4557,4673,3522,3068,2707,2756,2778,2288,1734,1056,1004,891,593,283,
管理费用(万元),9496,18256,9964,9566,7241,3640,3107,2527,1804,1204,940,621,591,289,
财务费用(万元),9259,5193,918,-305,1460,2603,3580,2813,1619,788,1502,1265,857,596,
资产减值损失(万元),882,1809,4127,916,1970,318,1353,392,161,289,1960,-7,16,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资收益(万元),-69,213,-50,78,34,-257,-34,337,478,486,255,196,-5,0,
对联营企业和合营企业的投资收益(万元),-164,21,-50,-91,-82,-257,-34,337,--,--,255,196,0,0,
汇兑收益(万元),--,-15,--,--,--,--,--,--,--,--,--,0,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
营业利润(万元),42522,63218,27626,25694,22332,17698,15848,17173,13612,6182,2177,4064,3093,1761,
营业外收入(万元),205,3277,5038,9105,2687,530,2229,133,109,35,53,31,19,64,
营业外支出(万元),193,186,183,45,132,26,96,16,25,126,22,4,12,7,
非流动资产处置损失(万元),--,--,139,4,110,14,19,7,--,--,--,0,--,--,
利润总额(万元),42535,66309,32481,34754,24887,18201,17981,17290,13695,6091,2208,4091,3100,1818,
所得税费用(万元),5337,13005,5869,6841,4301,3789,3221,2733,2271,947,52,513,375,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,
净利润(万元),37198,53303,26613,27913,20586,14413,14760,14557,11424,5144,2157,3578,2725,1818,
归属于母公司所有者的净利润(万元),22558,35442,20562,24144,17075,9314,10372,9999,8234,3732,2146,3563,2725,1818,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),14640,17861,6051,3770,3511,5099,4389,4557,3190,1412,11,16,0,0,
基本每股收益,0.23,0.36,0.21,0.25,0.41,0.26,0.28,0.27,0.45,0.31,0.39,0.79,0.71,0.54,
稀释每股收益,0.23,0.35,0.21,0.25,0.4,0.26,0.28,0.27,0.45,0.31,0.39,0.79,0.71,0.54,
