报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),138951,89508,52401,41754,25446,14433,6393,3328,1624,874,
营业收入(万元),138951,89508,52401,41754,25446,14433,6393,3328,1624,874,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),112732,75276,45157,35594,22120,10498,4015,2079,1289,495,
营业成本(万元),67789,47748,24060,17722,11222,6047,2090,948,707,274,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),17226,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1463,709,522,404,331,211,89,50,24,14,
销售费用(万元),13477,7636,5442,4309,2381,1186,477,232,184,29,
管理费用(万元),9634,18331,14061,12216,7382,2886,1257,827,349,119,
财务费用(万元),1585,89,285,627,314,120,13,-1,9,-0,
资产减值损失(万元),1558,763,787,316,490,46,88,23,16,59,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),743,201,--,--,128,172,21,21,--,--,
对联营企业和合营企业的投资收益(万元),368,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,-31,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),34393,19401,7244,6160,3454,4107,2400,1270,335,379,
营业外收入(万元),19,27,3277,3089,2580,1470,409,197,405,20,
营业外支出(万元),3,202,3,1,22,6,1,0,0,0,
非流动资产处置损失(万元),--,--,--,--,--,6,--,--,--,--,
利润总额(万元),34409,19225,10518,9248,6012,5571,2808,1467,740,399,
所得税费用(万元),4100,2329,1516,1507,862,607,325,91,-4,-7,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),30308,16896,9002,7741,5150,4964,2483,1375,743,407,
归属于母公司所有者的净利润(万元),28896,16685,9868,7675,5022,4974,2483,1375,743,407,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1412,211,-866,66,128,-9,-0,--,--,--,
基本每股收益,1.8,2.07,1.6,1.28,0.84,0.83,--,--,--,--,
稀释每股收益,1.8,2.07,1.6,1.28,0.84,0.83,--,--,--,--,
