报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),216426,200813,373647,21688,35829,36679,34478,60822,44751,28526,33691,25586,15603,10238,8636,
营业收入(万元),216426,200813,373647,21688,35829,36679,34478,60822,44751,28526,33691,25586,15603,10238,8636,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
营业总成本(万元),266104,219081,170406,29644,37845,41380,35371,50461,36368,24331,23088,17365,12233,8255,6464,
营业成本(万元),162272,133929,101963,19464,26621,29017,26407,41239,28776,19342,18802,14260,10063,6553,5124,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
研发费用(万元),2141,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
营业税金及附加(万元),13022,17353,25710,207,353,155,83,407,312,173,283,254,149,69,64,
销售费用(万元),10758,12172,5346,1616,1978,1851,1700,1998,1728,1111,1370,1352,1074,692,597,
管理费用(万元),20133,20546,11966,4163,5639,6284,5878,6414,4663,2986,2419,1431,899,858,625,
财务费用(万元),26768,29095,21917,2337,2607,2117,631,67,322,225,38,-12,42,59,26,
资产减值损失(万元),31010,5986,3503,1856,647,1955,673,335,567,495,176,79,6,26,27,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资收益(万元),25159,225177,16,6051,689,59,--,--,--,--,--,0,0,1,1,
对联营企业和合营企业的投资收益(万元),-807,-56,-2,-24,14,--,--,--,--,--,--,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
营业利润(万元),-24180,207746,203257,-1905,-1327,-4642,-893,10361,8383,4194,10603,8221,3370,1983,2173,
营业外收入(万元),168,304,2063,1914,1078,868,1209,1203,1543,327,141,156,782,12,13,
营业外支出(万元),1150,364,163,144,77,262,112,61,156,115,99,121,21,15,5,
非流动资产处置损失(万元),--,--,18,17,1,--,--,--,--,--,--,0,0,0,0,
利润总额(万元),-25162,207686,205157,-135,-326,-4036,204,11503,9770,4406,10646,8256,4130,1981,2182,
所得税费用(万元),-3674,50750,53173,186,-494,-159,-31,1979,1541,691,1555,1678,1070,853,587,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
净利润(万元),-21488,156936,151984,-321,168,-3878,235,9524,8230,3715,9091,6577,3060,1127,1594,
归属于母公司所有者的净利润(万元),-21243,135770,152966,340,208,-3483,559,9443,8177,3780,9147,6577,3060,1127,1594,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-246,21166,-982,-661,-40,-395,-324,82,52,-65,-56,0,0,0,0,
基本每股收益,-0.12,0.74,1.22,0.01,0.01,-0.13,0.02,0.37,0.35,0.17,0.49,0.82,0.58,0.22,0.3,
稀释每股收益,-0.12,0.74,1.22,0.01,0.01,-0.13,0.02,0.37,0.35,0.17,0.49,0.82,0.58,0.22,0.3,
