报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),1090717,1642140,1325877,1902145,850922,564967,443031,
营业收入(万元),--,--,--,--,--,--,--,
利息收入(万元),676419,525718,444082,235672,98569,162145,104715,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),2509,-3098,3108,2790,3109,2318,4157,
营业总成本(万元),686667,1107215,627183,758629,408335,326437,263952,
营业成本(万元),--,--,--,--,--,--,--,
利息支出(万元),477085,393196,284880,--,--,107747,34749,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),688,170117,229,691,720,719,767,
营业税金及附加(万元),7993,8717,34735,114445,52692,36065,26309,
销售费用(万元),562595,410324,592386,628005,370804,272069,230624,
管理费用(万元),--,--,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,
资产减值损失(万元),--,7634,-167,15488,-15881,17584,6253,
公允价值变动收益(万元),98885,--,-44976,390,29470,-11317,11738,
投资收益(万元),143592,241427,285820,398608,149756,136015,61781,
对联营企业和合营企业的投资收益(万元),787,--,-334,--,--,--,--,
汇兑收益(万元),-2237,--,3194,-1438,166,22,-23,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),69101,--,72509,64966,33489,20341,6152,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),404050,534925,698694,1143516,442588,238530,179079,
营业外收入(万元),1895,--,8495,4519,4205,4265,2271,
营业外支出(万元),801,--,1447,852,348,744,397,
非流动资产处置损失(万元),--,--,--,--,--,--,--,
利润总额(万元),405144,535534,705742,1147182,446445,242051,180952,
所得税费用(万元),94801,129369,174420,280947,112789,64264,46734,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),310343,406165,531322,866235,333656,177787,134218,
归属于母公司所有者的净利润(万元),308746,401543,525925,864889,335945,178696,134218,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),1597,4622,5397,1346,-2289,-909,--,
基本每股收益,0.38,0.51,0.81,--,--,--,--,
稀释每股收益,0.38,0.51,0.81,--,--,--,--,
