报告日期,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),74645,69300,77512,72049,
营业收入(万元),74645,69300,77512,72049,
利息收入(万元),0,--,--,0,
已赚保费(万元),0,--,--,0,
手续费及佣金收入(万元),0,--,--,0,
房地产销售收入(万元),0,--,--,0,
其他业务收入(万元),0,--,--,0,
营业总成本(万元),43991,44256,46865,48793,
营业成本(万元),28024,27677,33798,31674,
利息支出(万元),0,--,--,0,
手续费及佣金支出(万元),0,--,--,0,
房地产销售成本(万元),0,--,--,0,
研发费用(万元),0,--,--,0,
退保金(万元),0,--,--,0,
赔付支出净额(万元),0,--,--,0,
提取保险合同准备金净额(万元),0,--,--,0,
保单红利支出(万元),0,--,--,0,
分保费用(万元),0,--,--,0,
其他业务成本(万元),0,--,--,0,
营业税金及附加(万元),2440,2195,2444,2275,
销售费用(万元),326,192,243,251,
管理费用(万元),9606,9184,8423,8200,
财务费用(万元),-1108,-368,-412,5082,
资产减值损失(万元),4703,5374,2368,1310,
公允价值变动收益(万元),1437,-2113,264,0,
投资收益(万元),957,880,6565,622,
对联营企业和合营企业的投资收益(万元),841,1298,139,-1,
汇兑收益(万元),0,--,--,0,
期货损益(万元),0,--,--,0,
托管收益(万元),0,--,--,0,
补贴收入(万元),0,--,--,0,
其他业务利润(万元),0,--,--,0,
营业利润(万元),33048,23812,37477,23878,
营业外收入(万元),721,347,2231,10,
营业外支出(万元),306,11714,998,679,
非流动资产处置损失(万元),96,11296,3,0,
利润总额(万元),33463,12444,38710,23208,
所得税费用(万元),9274,3999,14600,11315,
未确认投资损失(万元),0,--,--,0,
净利润(万元),24189,8446,24110,11892,
归属于母公司所有者的净利润(万元),23631,8099,23483,11654,
被合并方在合并前实现净利润(万元),0,--,--,--,
少数股东损益(万元),558,347,627,238,
基本每股收益,0.19,0.07,0.19,0.1,
稀释每股收益,0.19,0.07,0.19,0.1,
