报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),78770,74000,68543,61432,59589,55083,48825,
营业收入(万元),78770,74000,68543,61432,59589,55083,48825,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),70517,68198,63663,57686,55404,52150,47384,
营业成本(万元),38885,37561,40246,34311,35262,33480,28407,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),14801,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),622,746,502,459,320,333,293,
销售费用(万元),9690,9203,9018,8308,8432,7595,7226,
管理费用(万元),5043,18566,11681,12458,9529,9206,8895,
财务费用(万元),807,704,1210,1250,959,925,759,
资产减值损失(万元),669,1417,1005,899,902,612,1805,
公允价值变动收益(万元),--,--,--,--,--,--,0,
投资收益(万元),177,147,17,28,70,17,0,
对联营企业和合营企业的投资收益(万元),-12,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),9322,6510,4897,3774,4255,2950,1442,
营业外收入(万元),374,650,1191,1463,1457,1392,862,
营业外支出(万元),158,12,9,6,2,2,703,
非流动资产处置损失(万元),--,12,8,6,2,2,0,
利润总额(万元),9538,7148,6079,5230,5710,4340,1601,
所得税费用(万元),906,603,533,490,608,418,107,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),8632,6545,5546,4740,5101,3922,1493,
归属于母公司所有者的净利润(万元),8532,6545,5546,4740,5101,3922,1493,
被合并方在合并前实现净利润(万元),--,--,--,--,-150,-13,--,
少数股东损益(万元),100,--,--,--,--,--,--,
基本每股收益,0.8,0.78,1.1,0.94,1.04,0.9,0.34,
稀释每股收益,0.8,0.78,1.1,0.94,1.04,0.9,0.34,
