报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),278090,239517,204546,214988,273428,245806,219825,191675,110451,152830,
营业收入(万元),278090,239517,204546,214988,273428,245806,219825,191675,110451,152830,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),245941,217323,182038,181689,207788,189975,183900,167636,97007,119517,
营业成本(万元),182095,164502,132130,125520,149980,135252,137268,130039,69288,94635,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),10505,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2979,2930,2178,2100,2425,2469,3003,1754,1654,1935,
销售费用(万元),28551,23936,23327,26342,26314,24919,19786,15015,10250,13128,
管理费用(万元),13071,21329,20961,23774,24394,21509,17830,16166,13339,8300,
财务费用(万元),2811,1618,-1465,-821,1299,1354,3644,3595,1721,832,
资产减值损失(万元),5929,3009,4906,4775,3377,4472,2370,1067,754,687,
公允价值变动收益(万元),--,--,--,--,--,404,211,--,--,--,
投资收益(万元),1172,2583,1718,3263,1870,437,165,-24,--,--,
对联营企业和合营企业的投资收益(万元),126,-112,-54,-69,-36,144,4,-24,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),34203,25669,24226,36563,67510,56672,36301,24014,13445,33313,
营业外收入(万元),314,265,2123,8625,1255,1579,960,691,280,780,
营业外支出(万元),492,165,354,3212,287,255,532,212,435,567,
非流动资产处置损失(万元),--,--,192,2888,46,27,337,35,217,235,
利润总额(万元),34025,25769,25995,41976,68478,57996,36728,24493,13290,33525,
所得税费用(万元),6874,5504,4832,7571,11267,10411,7358,4049,1972,4373,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),27151,20265,21163,34405,57211,47585,29371,20445,11318,29152,
归属于母公司所有者的净利润(万元),27407,20918,21948,34214,56396,47153,29156,18821,10575,29028,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-256,-653,-785,191,815,432,215,1623,742,124,
基本每股收益,0.37,0.28,0.29,0.46,0.75,0.67,0.42,0.27,0.15,0.41,
稀释每股收益,--,--,--,--,--,0.67,0.42,0.27,0.15,0.41,
