报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),25215,9,0,0,
营业收入(万元),25215,9,0,0,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),21274,453,2889,1281,
营业成本(万元),19438,0,0,0,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),64,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),327,84,--,--,
销售费用(万元),92,--,--,--,
管理费用(万元),1333,370,1257,--,
财务费用(万元),203,-26,1632,1281,
资产减值损失(万元),-183,26,--,--,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),4033,-444,-2889,-1281,
营业外收入(万元),2,1,100081,--,
营业外支出(万元),169,0,859,1053,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),3866,-444,96333,-2334,
所得税费用(万元),594,-10,10,--,
未确认投资损失(万元),--,--,--,--,
净利润(万元),3272,-434,96323,-2334,
归属于母公司所有者的净利润(万元),3272,-434,96323,-2334,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),--,--,--,--,
基本每股收益,0.12,-0.02,3.39,-0.08,
稀释每股收益,0.12,-0.02,3.39,-0.08,
