报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),1923155,1902345,1563181,965556,644371,1014388,595254,512968,695478,457163,289072,168821,148600,65786,
营业收入(万元),1923155,1902345,1563181,965556,644371,1014388,595254,512968,695478,457163,289072,168821,148600,65786,
利息收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
营业总成本(万元),1900993,1845392,1523927,963924,598964,995960,581465,527077,655574,436988,292879,174639,130576,57120,
营业成本(万元),1819356,1796031,1460035,886740,523167,913517,511775,451359,587145,390066,245503,136812,108589,40404,
利息支出(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
研发费用(万元),715,--,--,--,--,--,--,--,--,0,--,--,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
营业税金及附加(万元),7006,5797,6332,7647,9128,4613,2588,5469,6352,6621,7549,6030,3780,1577,
销售费用(万元),7119,6207,5958,5161,8011,6950,4850,6620,7732,4673,2799,1788,1499,278,
管理费用(万元),18435,18431,22653,24033,26239,22224,21500,26005,29527,18189,18791,11868,8052,6395,
财务费用(万元),46353,19147,29704,34343,31443,45342,39945,37194,24259,16285,17091,13336,8199,8208,
资产减值损失(万元),2009,-220,-755,5999,975,3315,807,430,559,1153,1147,4806,456,258,
公允价值变动收益(万元),-430,--,--,--,0,--,--,--,--,0,0,--,--,0,
投资收益(万元),10205,6044,15073,33226,21792,7821,7148,20879,36182,44940,40209,57939,915,3194,
对联营企业和合营企业的投资收益(万元),5436,4658,10308,33776,24341,7219,3982,414,7448,11305,3906,26150,-369,334,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
营业利润(万元),65766,68681,54326,34859,67199,26249,20937,6770,76086,65115,36401,52120,18938,11860,
营业外收入(万元),280,547,6170,3375,17838,40832,2023,3216,913,2816,2443,1829,1678,889,
营业外支出(万元),313,1015,437,205,140,112,93,291,462,2984,496,756,392,417,
非流动资产处置损失(万元),--,--,40,12,6,3,32,22,4,5,17,59,10,0,
利润总额(万元),65734,68214,60059,38028,84898,66969,22867,9694,76536,64947,38349,53192,20225,12332,
所得税费用(万元),20796,13651,17266,6294,24616,26757,19316,4543,16202,12317,9532,9610,5504,4017,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
净利润(万元),44937,54563,42793,31734,60282,40212,3552,5151,60334,52630,28817,43582,14721,8315,
归属于母公司所有者的净利润(万元),30944,29810,27087,25475,24769,11631,-19577,356,28643,29685,13636,37190,10430,8475,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,
少数股东损益(万元),13993,24753,15706,6259,35513,28581,23129,4795,31691,22946,15181,6392,4291,-160,
基本每股收益,0.21,0.2,0.18,0.17,0.17,0.08,-0.13,0,0.19,0.2,0.11,0.35,0.1,0.08,
稀释每股收益,0.21,0.2,0.18,0.17,0.17,0.08,-0.13,0,0.19,0.2,0.11,0.35,0.1,0.08,
