报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),409083,518397,522939,248356,45000,47341,40814,41562,41755,40331,83706,71611,52918,32839,
营业收入(万元),409083,518397,522939,248356,45000,47341,40814,41562,41755,40331,83706,71611,52918,32839,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),411270,486372,477195,227121,44182,46607,39149,40777,40554,36769,77455,63812,47140,28917,
营业成本(万元),331186,407023,399654,185536,37869,41396,35534,36607,36309,33424,70881,57550,44233,27502,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),8831,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2784,3303,3020,1215,205,264,204,168,48,34,36,28,8,16,
销售费用(万元),18008,21907,19567,10385,1575,1572,1034,1028,908,1112,1660,2125,1101,447,
管理费用(万元),35137,45728,49405,27823,4865,3721,2840,3105,2551,2691,4130,2613,1321,715,
财务费用(万元),2577,5393,2683,1015,-516,277,-508,-181,-36,-372,570,1384,529,106,
资产减值损失(万元),12748,3018,2866,1148,184,-624,45,51,775,-121,179,113,-53,131,
公允价值变动收益(万元),--,-122,59,68,0,0,--,--,--,--,--,--,--,--,
投资收益(万元),2977,5967,3916,730,906,-15,-258,115,83,438,2,2,-10,-1,
对联营企业和合营企业的投资收益(万元),2871,5729,3916,730,-6,-15,-258,115,83,147,2,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),38740,38632,49721,22033,1725,719,1408,899,1284,4000,6252,7800,5768,3920,
营业外收入(万元),1255,1597,3577,3728,40,5932,64,163,70,64,431,0,1,--,
营业外支出(万元),31335,965,1033,174,137,61,39,31,49,32,97,69,49,16,
非流动资产处置损失(万元),--,--,726,13,--,--,1,--,--,13,--,--,--,--,
利润总额(万元),8660,39264,52264,25587,1627,6591,1432,1032,1305,4032,6587,7731,5720,3905,
所得税费用(万元),5192,2615,7219,3265,1047,1255,432,-23,257,682,824,440,277,280,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3469,36649,45045,22322,580,5335,1000,1055,1048,3350,5763,7291,5443,3625,
归属于母公司所有者的净利润(万元),3980,36700,44607,22328,1146,5411,1000,1055,1048,2895,5033,6117,4736,3296,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,122,--,--,--,--,--,--,--,
少数股东损益(万元),-512,-51,438,-7,-566,-76,--,--,--,455,730,1175,707,329,
基本每股收益,0.01,0.12,0.41,0.28,0.03,0.27,0.05,0.05,0.05,0.14,0.42,0.61,4.77,3.32,
稀释每股收益,0.01,0.12,0.41,0.28,0.03,0.27,0.05,0.05,0.05,0.14,0.42,0.61,4.77,3.32,
