报告日期,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),356789,347064,298560,
营业收入(万元),356789,347064,298560,
利息收入(万元),--,--,--,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),--,--,--,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),--,--,--,
营业总成本(万元),385300,343548,325034,
营业成本(万元),347988,310351,272972,
利息支出(万元),--,--,--,
手续费及佣金支出(万元),--,--,--,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),--,--,--,
营业税金及附加(万元),278,964,1101,
销售费用(万元),2611,2760,1642,
管理费用(万元),22024,23448,19094,
财务费用(万元),4108,3306,3074,
资产减值损失(万元),8292,2719,27152,
公允价值变动收益(万元),--,--,--,
投资收益(万元),2164,-215,432,
对联营企业和合营企业的投资收益(万元),-213,-1223,376,
汇兑收益(万元),--,--,--,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),-26347,3301,-26042,
营业外收入(万元),2971,820,65,
营业外支出(万元),9354,312,734,
非流动资产处置损失(万元),699,250,124,
利润总额(万元),-32730,3809,-26711,
所得税费用(万元),6543,842,-3997,
未确认投资损失(万元),--,--,--,
净利润(万元),-39273,2967,-22714,
归属于母公司所有者的净利润(万元),-39273,2967,-22714,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),--,--,--,
基本每股收益,-0.52,0.04,-0.3,
稀释每股收益,-0.52,0.04,-0.3,
