报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),1394083,1212756,1004028,833665,641609,514691,420830,
营业收入(万元),--,--,--,--,--,--,--,
利息收入(万元),2236752,1940034,1562000,1282874,1074115,850194,678948,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),190064,129170,99159,69602,37553,34184,25601,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),985,1251,956,1847,1766,3817,3786,
营业总成本(万元),830343,711564,577002,481371,327593,230627,192767,
营业成本(万元),--,--,--,--,--,--,--,
利息支出(万元),1081744,828058,665776,554219,486761,373072,299968,
手续费及佣金支出(万元),32060,19808,14585,12189,10894,6928,4421,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,0,746,--,
营业税金及附加(万元),13268,10976,33635,70949,57240,43016,30511,
销售费用(万元),475696,408319,322062,260232,203257,163615,137850,
管理费用(万元),--,--,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,
资产减值损失(万元),341380,292269,221304,150191,67095,23250,24406,
公允价值变动收益(万元),28954,8105,-5345,5925,7863,-6803,-939,
投资收益(万元),40692,-14938,19687,39921,15696,12819,17037,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),4617,-8420,8006,5795,2271,481,787,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),563740,501192,427026,352293,314016,284063,228063,
营业外收入(万元),2276,1246,1536,2965,1458,2759,21474,
营业外支出(万元),5487,5419,3091,874,4227,1091,686,
非流动资产处置损失(万元),--,--,--,--,--,--,--,
利润总额(万元),560528,497019,425472,354384,311247,285731,248850,
所得税费用(万元),102756,98519,100303,77573,68072,63971,54285,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),457771,398501,325169,276811,243175,221760,194566,
归属于母公司所有者的净利润(万元),447861,393071,319008,273202,243092,219339,191301,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),9911,5430,6161,3610,83,2420,3264,
基本每股收益,1.42,1.28,1.04,0.98,1.07,0.95,0.96,
稀释每股收益,1.42,1.28,1.04,0.98,1.07,0.95,0.96,
