报告日期,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),30897,24644,23021,
营业收入(万元),30897,24644,23021,
利息收入(万元),--,0,0,
已赚保费(万元),--,0,0,
手续费及佣金收入(万元),--,0,0,
房地产销售收入(万元),--,0,0,
其他业务收入(万元),--,0,0,
营业总成本(万元),30591,28595,24323,
营业成本(万元),15604,12875,13296,
利息支出(万元),--,0,0,
手续费及佣金支出(万元),--,0,0,
房地产销售成本(万元),--,0,0,
研发费用(万元),--,0,0,
退保金(万元),--,0,0,
赔付支出净额(万元),--,0,0,
提取保险合同准备金净额(万元),--,0,0,
保单红利支出(万元),--,0,0,
分保费用(万元),--,0,0,
其他业务成本(万元),--,0,0,
营业税金及附加(万元),363,303,177,
销售费用(万元),5139,3884,2831,
管理费用(万元),6650,5682,5952,
财务费用(万元),1207,1134,1660,
资产减值损失(万元),1628,4717,408,
公允价值变动收益(万元),--,0,0,
投资收益(万元),2683,8564,-106,
对联营企业和合营企业的投资收益(万元),--,0,0,
汇兑收益(万元),--,0,0,
期货损益(万元),--,0,0,
托管收益(万元),--,0,0,
补贴收入(万元),--,0,0,
其他业务利润(万元),--,0,0,
营业利润(万元),2989,4613,-1408,
营业外收入(万元),275,500,2309,
营业外支出(万元),542,117,889,
非流动资产处置损失(万元),--,0,0,
利润总额(万元),2723,4997,11,
所得税费用(万元),887,689,805,
未确认投资损失(万元),--,0,0,
净利润(万元),1835,4308,-794,
归属于母公司所有者的净利润(万元),1164,4032,-890,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),672,276,96,
基本每股收益,0.05,0.19,-0.04,
稀释每股收益,0.05,0.19,-0.04,
