报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),59087,75026,77097,67941,54879,35599,
营业收入(万元),59087,75026,77097,67941,54879,35599,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),51459,60316,59564,59735,43247,26616,
营业成本(万元),4421,3516,3559,3300,2711,1875,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),2986,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),461,412,358,264,337,304,
销售费用(万元),36567,49587,50857,44388,36235,21886,
管理费用(万元),3382,4603,4838,4576,3002,2056,
财务费用(万元),-677,-819,-718,-137,-71,-147,
资产减值损失(万元),4319,3017,669,7345,1033,642,
公允价值变动收益(万元),-145,--,--,--,--,--,
投资收益(万元),2646,770,656,1248,1235,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),10525,15645,18189,9454,12868,8983,
营业外收入(万元),42,951,282,321,102,131,
营业外支出(万元),61,13,62,48,121,43,
非流动资产处置损失(万元),--,--,1,1,1,4,
利润总额(万元),10505,16584,18408,9727,12849,9071,
所得税费用(万元),1359,2464,2735,1404,1952,1311,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),9146,14120,15674,8323,10897,7760,
归属于母公司所有者的净利润(万元),9414,14239,15705,8335,10991,7765,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),-267,-119,-32,-12,-94,-6,
基本每股收益,0.91,1.65,2.03,1.09,1.59,1.21,
稀释每股收益,0.91,1.65,2.03,1.09,1.59,1.21,
