报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
营业总收入(万元),488858,692187,308804,176848,177444,61661,62477,48773,30934,
营业收入(万元),488858,692187,308804,176848,177444,61661,62477,48773,30934,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),693584,661498,275850,155305,165013,49091,49801,39005,22561,
营业成本(万元),468275,642432,259610,147947,157622,43201,43587,33671,18572,
利息支出(万元),1381,1654,1843,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),1540,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1280,1989,1570,770,402,394,822,799,604,
销售费用(万元),2160,1898,1739,1331,826,139,93,129,139,
管理费用(万元),5523,7657,7595,4520,3982,3099,2921,2236,1781,
财务费用(万元),5232,5028,3161,758,2001,2208,2368,2181,1469,
资产减值损失(万元),208191,840,333,-21,182,51,10,-12,-3,
公允价值变动收益(万元),--,1,-1,10,-10,--,--,--,--,
投资收益(万元),15510,-1325,835,-196,1261,76,60,75,104,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),-183250,30264,33787,21356,13682,12646,12736,9843,8476,
营业外收入(万元),30,306,202,226,1211,1241,1413,1575,238,
营业外支出(万元),226597,93,116,13,10,150,138,4,6,
非流动资产处置损失(万元),--,--,2,1,--,--,34,--,6,
利润总额(万元),-409817,30477,33873,21568,14884,13737,14010,11413,8707,
所得税费用(万元),6822,6698,7729,4589,2245,2029,2066,1681,1302,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),-416640,23780,26144,16980,12639,11708,11945,9732,7405,
归属于母公司所有者的净利润(万元),-417940,21008,22217,16244,12639,11708,11945,9732,7405,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1301,2772,3927,736,--,--,--,--,--,
基本每股收益,-3.96,0.2,0.34,0.49,0.86,0.99,1.01,0.82,0.63,
稀释每股收益,-3.96,0.2,0.34,0.49,0.86,0.99,1.01,0.82,0.63,
