报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),55129,51596,43075,45497,43198,39766,31594,32344,
营业收入(万元),55129,51596,43075,45497,43198,39766,31594,32344,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),50404,46129,36509,38540,38345,34186,26981,29151,
营业成本(万元),40081,35395,28242,30441,29822,28061,21900,25396,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),925,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),425,391,344,273,147,163,152,57,
销售费用(万元),4821,4199,3883,3490,3786,2734,2170,1451,
管理费用(万元),3860,4443,3631,3748,3883,2985,2934,1643,
财务费用(万元),-454,600,-479,-183,198,222,194,347,
资产减值损失(万元),746,1101,889,770,509,21,-370,256,
公允价值变动收益(万元),-477,780,-336,-154,-264,173,20,-41,
投资收益(万元),1010,322,-258,406,74,147,59,357,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),5661,7051,5971,7209,4663,5899,4691,3510,
营业外收入(万元),310,91,328,286,377,228,208,484,
营业外支出(万元),37,34,138,185,153,91,106,136,
非流动资产处置损失(万元),--,--,8,2,6,10,4,5,
利润总额(万元),5934,7108,6162,7310,4888,6036,4793,3857,
所得税费用(万元),1815,2104,1413,1886,1381,1438,1309,876,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),4119,5005,4749,5424,3506,4599,3484,2981,
归属于母公司所有者的净利润(万元),4119,5005,4749,5424,3506,4599,3484,2949,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,31,
基本每股收益,0.62,0.8,0.95,1.08,0.7,0.92,0.95,0.98,
稀释每股收益,0.62,0.8,0.95,1.08,0.7,0.92,0.95,0.98,
