报告日期,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),2609156,2397004,2166171,
营业收入(万元),--,--,--,
利息收入(万元),3971998,3928841,3286616,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),220308,245425,222389,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),20457,--,15425,
营业总成本(万元),816513,832955,845098,
营业成本(万元),--,--,--,
利息支出(万元),1970606,1778768,1346144,
手续费及佣金支出(万元),13728,15867,10553,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),--,--,--,
营业税金及附加(万元),--,--,--,
销售费用(万元),--,--,--,
管理费用(万元),--,--,--,
财务费用(万元),--,--,--,
资产减值损失(万元),619590,371060,267654,
公允价值变动收益(万元),--,--,--,
投资收益(万元),--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,
汇兑收益(万元),--,--,--,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),--,1195973,1064484,
营业外收入(万元),--,--,--,
营业外支出(万元),--,--,--,
非流动资产处置损失(万元),--,--,--,
利润总额(万元),1177192,1195973,1064484,
所得税费用(万元),260788,295137,264351,
未确认投资损失(万元),--,--,--,
净利润(万元),916404,900835,800132,
归属于母公司所有者的净利润(万元),905819,893597,794475,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),10585,7238,5657,
基本每股收益,0.91,0.94,0.85,
稀释每股收益,0.91,0.94,0.85,
