报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),35436300,31980900,26701400,24720200,21977800,19313700,17145100,15793400,14166200,10431300,9783500,9300800,5752600,5192400,4394400,
营业收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
利息收入(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,
已赚保费(万元),29972400,26355400,21957300,18937600,17289100,15962500,14783900,13723800,11975100,8412700,8427400,6553600,4796400,4558000,4078800,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
其他业务收入(万元),311700,281400,246200,211300,172500,149900,115000,107500,85100,67100,42700,48000,19900,8600,6400,
营业总成本(万元),32610800,29878600,25094200,22302200,20535600,18126900,16540700,14829200,13097200,9477200,9858400,8451200,5552200,5041500,4554300,
营业成本(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
利息支出(万元),--,--,--,--,--,--,--,--,--,0,53200,0,0,--,--,
手续费及佣金支出(万元),5625100,4728100,3516600,2496900,1972500,1665200,1479900,1322600,1119800,882000,725800,561500,369300,334200,359200,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
退保金(万元),1264100,1016800,1353800,2521700,2902800,1978300,1231800,958800,448900,438600,725700,822200,482400,647500,482500,
赔付支出净额(万元),9778200,8706300,8382900,7654300,5985300,5191500,4293300,3553100,2992600,2644600,2833600,1739500,1312600,1053900,1017100,
提取保险合同准备金净额(万元),10475800,10395300,7067700,5113200,5275800,5743500,5966100,6046200,6267300,3814200,3713900,4135400,2507000,2241200,2125500,
保单红利支出(万元),1126300,894600,773500,705400,497000,412600,390500,380700,339900,205300,259500,122300,110500,38200,21600,
分保费用(万元),11900,27100,4000,3000,2900,3300,3000,2400,2100,1500,1400,1000,300,700,1100,
其他业务成本(万元),380500,507500,402300,342500,309300,306200,277800,298000,244700,220400,2900,1300,3100,2400,1300,
营业税金及附加(万元),90000,96600,293800,657600,571200,481000,413800,365000,319300,225600,167700,221800,121500,93300,75200,
销售费用(万元),3450600,3052300,2941100,2511600,2323500,1943500,1807900,1532600,1256400,989000,852600,762400,590000,470800,375400,
管理费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
财务费用(万元),295900,370300,244400,264000,315300,275500,228800,84800,37300,39600,0,81000,60600,24400,12400,
资产减值损失(万元),110200,71300,114100,32000,380000,126300,447800,285000,68900,16400,522100,2800,-5100,134900,83000,
公允价值变动收益(万元),-216800,144300,-76800,5200,71300,1600,9900,-38300,19300,14000,-74200,23500,41100,6600,-6900,
投资收益(万元),5347700,5194600,4563000,5555200,4440900,3227700,2237400,2007500,2106700,1938900,1400800,2700900,910500,619900,315900,
对联营企业和合营企业的投资收益(万元),33500,7400,1800,3500,2200,--,--,1600,-1200,8500,900,0,1800,-5200,-4300,
汇兑收益(万元),5300,-14000,11700,10900,4000,-28000,-1100,-7100,-20000,-1400,-13200,-25200,-15300,-700,200,
期货损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
营业利润(万元),2825500,2102300,1607200,2418000,1442200,1186800,604400,964200,1069000,954100,-74900,849600,200400,150900,-159900,
营业外收入(万元),10300,18600,16700,18700,16100,12100,10800,81200,6800,7500,45400,11500,8800,1300,2700,
营业外支出(万元),35000,10700,15400,5600,8300,7500,3900,5500,8800,11000,6000,16800,6600,5000,1200,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
利润总额(万元),2800800,2110200,1608500,2431100,1450000,1191400,611300,1039900,1067000,950600,-35500,844300,202600,147200,-158400,
所得税费用(万元),957400,611100,380100,627300,325500,251900,98300,200600,200500,203300,-177000,137400,71900,56500,-47900,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
净利润(万元),1843400,1499100,1228400,1803800,1124500,939500,513000,839300,866500,747300,141500,706900,130700,90700,-110500,
归属于母公司所有者的净利润(万元),1801900,1466200,1205700,1772800,1104900,926100,507700,831300,855700,735600,133900,689300,100800,113100,-110600,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
少数股东损益(万元),41500,32900,22700,31000,19600,13400,5300,8000,10800,11700,7600,17600,29900,-22400,100,
基本每股收益,1.99,1.62,1.33,1.96,1.22,1.02,0.59,0.97,1,0.95,0.17,1.12,0.23,0.26,-0.26,
稀释每股收益,1.99,1.62,1.33,1.96,1.22,1.02,0.59,0.97,1,0.95,0,0,0,0.26,-0.26,
