报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),60021,57958,55980,51814,32136,38765,40319,34721,31380,30385,
营业收入(万元),60021,57958,55980,51814,32136,38765,40319,34721,31380,30385,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),76599,56385,54206,45691,28293,33031,33756,29263,26406,25454,
营业成本(万元),38021,32890,30639,27634,19130,23554,24777,20944,19219,19238,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),773,900,955,586,305,366,365,313,213,187,
销售费用(万元),18073,16898,16612,12377,5007,5418,5204,4401,3284,3429,
管理费用(万元),7630,5329,5565,5739,3044,2949,2865,2862,2995,2140,
财务费用(万元),222,130,196,165,178,246,432,608,433,440,
资产减值损失(万元),11881,238,240,-810,630,498,113,135,262,20,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1066,805,874,1125,561,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-15427,2388,2648,7249,4404,5734,6563,5459,4974,4931,
营业外收入(万元),246,215,779,1227,306,690,229,482,270,127,
营业外支出(万元),231,316,206,87,65,7,71,41,152,419,
非流动资产处置损失(万元),--,--,19,2,--,--,--,--,29,24,
利润总额(万元),-15412,2287,3221,8389,4646,6417,6721,5900,5092,4638,
所得税费用(万元),59,405,409,1264,503,642,712,568,687,677,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),-15471,1882,2811,7125,4143,5775,6009,5332,4404,3961,
归属于母公司所有者的净利润(万元),-15413,1884,2811,7125,4143,5775,6009,5332,4404,3961,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-58,-2,--,--,--,--,--,--,--,--,
基本每股收益,-0.89,0.17,0.26,0.66,0.46,0.74,0.77,0.69,0.59,0.53,
稀释每股收益,-0.89,0.17,0.26,0.66,0.46,0.74,0.77,0.69,0.59,0.53,
