报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),97683200,89088200,71245300,61999000,46288200,36263100,29937200,24891500,18943900,14783500,13980300,16520400,10791900,
营业收入(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
利息收入(万元),16171400,14738600,13107500,13213100,11942200,9329100,7485200,3931400,933100,667400,702000,531400,19200,
已赚保费(万元),67770300,57299000,44162000,34984600,28877900,24019900,21314400,18666200,14112400,10038300,12179000,9403200,7884500,
手续费及佣金收入(万元),4627700,4440700,3985900,4049900,2564300,1581500,1089100,861400,554300,317900,198000,261600,65700,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务收入(万元),5050300,4491100,4231800,2758300,1763600,1103400,893500,398900,490600,828400,177900,204300,67300,
营业总成本(万元),81349400,75612400,61908500,52704300,40054100,31629200,26699700,21900200,16712200,12825400,14211000,14803700,10020800,
营业成本(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
利息支出(万元),8693100,7250100,5293700,6472700,6452700,5086100,4035100,2043200,339700,246400,267700,156500,8000,
手续费及佣金支出(万元),13946900,12115800,8313400,5420000,3816700,2736200,2188400,1879700,1511600,1181600,1484100,1140800,816600,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
退保金(万元),2153900,2051900,1605000,1657800,1018800,757400,534100,440700,381600,499300,1336200,1333300,861700,
赔付支出净额(万元),19385700,15019000,12902800,10510900,9012700,8145300,7465400,5427000,3588800,2953300,3163200,2455500,1563500,
提取保险合同准备金净额(万元),19034800,21953200,15113500,13798100,10682300,9241900,7192900,7601200,6590200,4141700,3298400,7695300,5613100,
保单红利支出(万元),1644500,1312900,1123600,845500,587100,531100,576900,500000,390700,390500,627600,351400,148700,
分保费用(万元),1100,2800,1200,1100,400,700,800,2000,3800,2600,2300,1600,400,
其他业务成本(万元),4525500,4505400,3893200,3978500,2710400,1743100,1352800,906300,921600,1133800,193100,58500,15800,
营业税金及附加(万元),388400,373500,926800,2081500,1591500,1196200,1018100,742400,474300,348200,257600,365600,163700,
销售费用(万元),13973100,13296000,12364400,10358900,7770200,6258400,5338300,3948600,2666000,2049900,1256900,1429800,846000,
管理费用(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
财务费用(万元),1822700,1116700,1214400,753900,697400,320200,175800,125400,91300,88000,--,0,0,
资产减值损失(万元),--,4525100,4889400,3654800,2489600,896600,1001700,431900,153200,76300,2612000,28900,500,
公允价值变动收益(万元),-2828400,327100,383100,12500,61500,59600,10500,-32000,-13700,181400,-1766800,688500,689500,
投资收益(万元),7458900,15591900,10967800,13784400,7873500,5491700,3299600,3257200,3278200,3038000,2824800,5695000,2129200,
对联营企业和合营企业的投资收益(万元),1807400,--,--,--,--,--,--,--,--,0,--,0,0,
汇兑收益(万元),-94600,-12800,140100,25600,-19100,-38100,25500,-43400,-10400,-1700,-46500,-50100,-46300,
期货损益(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
营业利润(万元),16333800,13475800,9336800,9294700,6234100,4633900,3237500,2991300,2231700,1958100,-230700,1716700,771100,
营业外收入(万元),38500,35400,140200,85900,51200,40500,32600,36300,18900,61500,11400,56900,8700,
营业外支出(万元),57200,37200,35900,39300,50000,52000,36300,25000,15900,27700,26000,25300,6200,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
利润总额(万元),16315100,13474000,9441100,9341300,6235300,4622400,3233800,3002600,2234700,1991900,-245300,1748300,773600,
所得税费用(万元),4269900,3476200,2204300,2823500,1442300,1021000,558800,744400,440900,543700,-332600,190200,24000,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
净利润(万元),12045200,9997800,7236800,6517800,4793000,3601400,2675000,2258200,1793800,1448200,87300,1558100,749600,
归属于母公司所有者的净利润(万元),10740400,8908800,6239400,5420300,3927900,2815400,2005000,1947500,1731100,1388300,66200,1508600,734200,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
少数股东损益(万元),1304800,1089000,997400,1097500,865100,786000,670000,310700,62700,59900,21100,49500,15400,
基本每股收益,6.02,4.99,3.5,2.98,4.93,3.56,2.53,2.5,2.3,1.89,0.09,2.11,1.19,
稀释每股收益,6.01,4.99,3.49,2.98,4.68,3.55,2.53,2.5,2.3,1.89,0.09,2.11,1.19,
