报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),2952,2791,2171,1589,2020,2366,3218,3299,3521,3141,3469,2562,1329,
营业收入(万元),2952,2791,2171,1589,2020,2366,3218,3299,3521,3141,3469,2562,1329,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),2870,2713,2578,2536,2493,2594,3227,3821,3823,3445,3526,3129,2951,
营业成本(万元),1176,1114,1026,63,34,1,303,700,623,495,461,284,108,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),139,143,141,92,114,133,181,186,195,174,190,141,73,
销售费用(万元),562,512,493,1297,1178,1190,1483,1871,1767,1556,1488,1448,1107,
管理费用(万元),1013,967,937,1027,1142,1246,1235,1243,1206,1196,1322,885,741,
财务费用(万元),-19,-25,-19,-11,4,5,24,33,32,20,59,445,880,
资产减值损失(万元),-1,1,-0,68,21,19,2,-212,-0,4,7,-74,42,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,81,139,42,402,--,96,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,2,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),82,159,-268,-905,-71,-228,87,-522,-303,-304,-57,-567,-1621,
营业外收入(万元),0,130,7,166,322,13,130,41,375,37,116,16096,26,
营业外支出(万元),16,3,5,9,1,4,5,47,4,33,16,68,268,
非流动资产处置损失(万元),--,3,5,9,1,4,5,47,--,--,--,--,--,
利润总额(万元),65,286,-266,-748,250,-220,213,-528,68,-300,43,15462,-1863,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,--,1546,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),65,286,-266,-748,250,-220,213,-528,68,-300,43,13916,-1863,
归属于母公司所有者的净利润(万元),65,286,-266,-748,250,-220,213,-528,68,-300,43,13916,-1863,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0,0.01,-0.01,-0.02,0.01,-0.01,0.01,-0.01,0,-0.01,0,0.38,-0.05,
稀释每股收益,0,0.01,-0.01,-0.02,0.01,-0.01,0.01,-0.01,0,-0.01,0,0.38,-0.05,
