报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),102551,101551,92258,68364,52784,40499,35703,32494,29430,18075,14372,
营业收入(万元),102551,101551,92258,68364,52784,40499,35703,32494,29430,18075,14372,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),90518,87149,75674,56488,44044,32585,28980,25474,22590,13722,11973,
营业成本(万元),81219,80184,67995,50307,39526,29560,26601,22926,20892,12759,11337,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1494,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),635,598,626,209,272,187,115,126,83,60,4,
销售费用(万元),1499,1205,1087,677,343,288,225,180,119,89,43,
管理费用(万元),4164,5151,6007,4986,3617,2272,1730,1910,1245,831,410,
财务费用(万元),1298,-41,-66,189,262,208,311,329,250,-18,184,
资产减值损失(万元),208,53,25,120,25,70,-2,3,1,-0,-5,
公允价值变动收益(万元),6,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),764,175,190,770,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,170,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),13840,14876,16774,12646,8740,7914,6723,7020,6840,4353,2400,
营业外收入(万元),24,259,279,128,91,155,56,112,--,45,--,
营业外支出(万元),81,25,11,69,3,1,4,11,11,2,23,
非流动资产处置损失(万元),--,--,8,1,3,1,4,6,5,2,23,
利润总额(万元),13783,15111,17042,12705,8828,8068,6775,7121,6829,4395,2377,
所得税费用(万元),3397,3762,4129,2932,2200,2038,1667,1806,1801,1148,978,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),10386,11349,12913,9773,6628,6030,5108,5315,5029,3247,1399,
归属于母公司所有者的净利润(万元),10108,11363,12913,9773,6628,6030,5108,5315,5029,3247,1399,
被合并方在合并前实现净利润(万元),--,--,--,4542,--,--,--,--,--,-15,--,
少数股东损益(万元),278,-14,--,--,--,--,--,--,--,--,--,
基本每股收益,0.53,0.6,0.68,1.03,0.95,1,0.85,0.89,0.84,0.54,0.23,
稀释每股收益,0.53,0.59,0.67,1.03,0.95,1,0.85,0.89,0.84,0.54,0.23,
