报告日期,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),320752,284956,258878,
营业收入(万元),320752,284956,258878,
利息收入(万元),--,--,--,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),--,--,--,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),--,--,--,
营业总成本(万元),294656,271306,244475,
营业成本(万元),221827,210235,190298,
利息支出(万元),--,--,--,
手续费及佣金支出(万元),--,--,--,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),--,--,--,
营业税金及附加(万元),1965,1477,1314,
销售费用(万元),39451,31250,26130,
管理费用(万元),28050,25227,25455,
财务费用(万元),1135,1018,739,
资产减值损失(万元),2227,2099,539,
公允价值变动收益(万元),--,--,--,
投资收益(万元),9538,10423,7334,
对联营企业和合营企业的投资收益(万元),8050,6891,5400,
汇兑收益(万元),--,--,--,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),35634,24072,21737,
营业外收入(万元),3046,3092,1325,
营业外支出(万元),1335,823,1278,
非流动资产处置损失(万元),243,103,530,
利润总额(万元),37345,26341,21784,
所得税费用(万元),5164,4874,4202,
未确认投资损失(万元),--,--,--,
净利润(万元),32181,21467,17582,
归属于母公司所有者的净利润(万元),19677,13797,10570,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),12503,7669,7013,
基本每股收益,0.54,0.38,0.29,
稀释每股收益,0.54,0.38,0.29,
