报告日期,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),65366,77993,61955,
营业收入(万元),65366,77993,61955,
利息收入(万元),--,--,--,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),--,--,--,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),--,--,--,
营业总成本(万元),76340,77356,60615,
营业成本(万元),65963,67831,50125,
利息支出(万元),--,--,--,
手续费及佣金支出(万元),--,--,--,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),--,--,--,
营业税金及附加(万元),139,364,437,
销售费用(万元),1516,1904,1760,
管理费用(万元),6436,6176,6341,
财务费用(万元),1634,1253,1464,
资产减值损失(万元),652,-171,489,
公允价值变动收益(万元),--,--,--,
投资收益(万元),--,44,--,
对联营企业和合营企业的投资收益(万元),--,-0,--,
汇兑收益(万元),--,--,--,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),-10974,681,1340,
营业外收入(万元),1084,1023,1152,
营业外支出(万元),91,162,230,
非流动资产处置损失(万元),41,92,180,
利润总额(万元),-9981,1543,2262,
所得税费用(万元),276,253,479,
未确认投资损失(万元),--,--,--,
净利润(万元),-10257,1290,1783,
归属于母公司所有者的净利润(万元),-10036,1164,1868,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),-221,126,-85,
基本每股收益,-0.54,0.06,0.1,
稀释每股收益,-0.54,0.06,0.1,
