报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),355703,312718,326120,315535,334626,318722,324775,308803,246752,214945,
营业收入(万元),355703,312718,326120,315535,334626,318722,324775,308803,246752,214945,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),346450,301253,316650,306317,325896,309050,311677,294928,234012,205851,
营业成本(万元),244495,212647,229733,230194,248536,236017,244171,233148,185140,160917,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),20842,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),3414,3295,2441,2032,2048,2056,1962,2086,1157,1639,
销售费用(万元),44318,37159,39875,34466,33369,32751,30672,28306,22404,20011,
管理费用(万元),24718,39401,33955,30868,30868,30668,28795,24741,21021,19826,
财务费用(万元),5044,3283,3928,4569,6380,4152,4470,4500,3087,2841,
资产减值损失(万元),3619,5469,6719,4189,4696,3405,1607,2148,1204,617,
公允价值变动收益(万元),4,-205,4,--,14,-105,341,174,-592,169,
投资收益(万元),7207,4418,3164,5363,7494,5865,3364,1591,3379,696,
对联营企业和合营企业的投资收益(万元),6857,3648,2538,4725,6309,5464,2786,2199,1046,572,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),22040,18632,12638,14581,16238,15432,16802,15640,15526,9958,
营业外收入(万元),19931,163,2577,3129,1890,1709,1237,7698,1344,5334,
营业外支出(万元),226,247,737,377,341,94,261,122,154,149,
非流动资产处置损失(万元),--,--,123,68,189,81,129,89,104,67,
利润总额(万元),41745,18548,14478,17334,17786,17047,17778,23216,16716,15143,
所得税费用(万元),2957,2421,2003,2557,2223,2291,4278,4874,2892,865,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),38788,16126,12476,14777,15563,14756,13500,18342,13824,14278,
归属于母公司所有者的净利润(万元),38655,15915,12900,15288,15944,14142,12770,17581,12693,12774,
被合并方在合并前实现净利润(万元),--,--,--,68,--,--,--,--,--,-225,
少数股东损益(万元),132,212,-425,-512,-380,614,729,760,1132,1504,
基本每股收益,0.98,0.4,0.33,0.39,0.47,0.48,0.43,0.6,0.43,0.43,
稀释每股收益,0.98,0.4,0.33,0.39,0.47,0.48,0.43,0.6,0.43,0.43,
