报告日期,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),128889,141168,109442,
营业收入(万元),128889,141168,109442,
利息收入(万元),0,--,--,
已赚保费(万元),0,--,--,
手续费及佣金收入(万元),0,--,--,
房地产销售收入(万元),0,--,--,
其他业务收入(万元),0,--,--,
营业总成本(万元),63221,78096,72588,
营业成本(万元),49249,65460,62391,
利息支出(万元),0,--,--,
手续费及佣金支出(万元),0,--,--,
房地产销售成本(万元),0,--,--,
研发费用(万元),0,--,--,
退保金(万元),0,--,--,
赔付支出净额(万元),0,--,--,
提取保险合同准备金净额(万元),0,--,--,
保单红利支出(万元),0,--,--,
分保费用(万元),0,--,--,
其他业务成本(万元),0,--,--,
营业税金及附加(万元),7880,8292,5986,
销售费用(万元),476,830,1739,
管理费用(万元),2815,2250,1777,
财务费用(万元),2628,1209,625,
资产减值损失(万元),173,55,70,
公允价值变动收益(万元),1,--,43,
投资收益(万元),1455,448,254,
对联营企业和合营企业的投资收益(万元),1450,--,--,
汇兑收益(万元),0,--,--,
期货损益(万元),0,--,--,
托管收益(万元),0,--,--,
补贴收入(万元),0,--,--,
其他业务利润(万元),0,--,--,
营业利润(万元),67124,63521,37152,
营业外收入(万元),4217,2177,2781,
营业外支出(万元),123,513,258,
非流动资产处置损失(万元),0,--,--,
利润总额(万元),71217,65185,39675,
所得税费用(万元),18487,21318,12483,
未确认投资损失(万元),0,--,--,
净利润(万元),52729,43867,27192,
归属于母公司所有者的净利润(万元),25094,21578,13224,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),27635,22290,13967,
基本每股收益,0.83,0.71,0.44,
稀释每股收益,0.83,0.71,0.44,
