报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),85085,71951,63083,56804,54204,
营业收入(万元),85085,71951,63083,56804,54204,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),70765,61438,53401,49887,48205,
营业成本(万元),32566,28902,27269,24330,23596,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),324,244,190,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),1075,1008,850,617,557,
销售费用(万元),33090,25100,22155,21670,20647,
管理费用(万元),3786,5968,2981,3188,3197,
财务费用(万元),-115,248,6,75,267,
资产减值损失(万元),40,-32,-50,6,-59,
公允价值变动收益(万元),181,-391,126,21,0,
投资收益(万元),745,535,695,554,317,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),15578,11202,10504,7492,6316,
营业外收入(万元),1,66,772,615,727,
营业外支出(万元),20,12,19,28,7,
非流动资产处置损失(万元),--,--,--,1,3,
利润总额(万元),15559,11256,11256,8080,7037,
所得税费用(万元),1873,1131,1809,1448,996,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),13685,10125,9447,6632,6041,
归属于母公司所有者的净利润(万元),13685,10125,9447,6632,6041,
被合并方在合并前实现净利润(万元),--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,
基本每股收益,2.28,1.7,1.61,1.13,1.03,
稀释每股收益,2.28,1.7,1.61,1.13,1.03,
