报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),18168,10484,32503,47878,52078,75759,82474,71745,49646,33625,22455,19344,
营业收入(万元),18168,10484,32503,47878,52078,75759,82474,71745,49646,33625,22455,19344,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),21274,16171,43341,58229,86607,91646,80321,66460,46320,29962,20216,17095,
营业成本(万元),11924,6994,25292,37734,44048,50211,51033,45457,31406,19993,13459,11248,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),714,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),71,104,587,1040,967,1494,1336,1437,1031,580,335,310,
销售费用(万元),1716,2358,7137,7970,13540,18097,12177,10275,6299,4873,3496,3062,
管理费用(万元),5051,6036,6671,6332,14603,14718,12548,8118,6589,3844,2258,2142,
财务费用(万元),85,354,1215,1527,1936,1457,1179,188,433,770,297,243,
资产减值损失(万元),1712,326,2439,3626,11514,5668,2047,985,562,-97,371,90,
公允价值变动收益(万元),43,-43,--,--,--,--,--,--,--,--,-63,48,
投资收益(万元),-1373,3479,7,11759,833,--,--,--,--,--,66,1,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-4366,-2251,-10831,1407,-33695,-15886,2153,5285,3327,3663,2241,2298,
营业外收入(万元),7,3041,768,3524,1632,1462,2200,2243,2329,1779,1266,1208,
营业外支出(万元),111,100,142,290,1109,148,24,50,27,8,45,0,
非流动资产处置损失(万元),--,--,25,64,809,132,8,45,5,6,24,--,
利润总额(万元),-4470,689,-10205,4641,-33173,-14572,4329,7477,5629,5434,3462,3506,
所得税费用(万元),-247,-62,430,1757,0,-593,1518,761,396,478,355,311,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-4222,751,-10635,2884,-33173,-13979,2811,6716,5233,4956,3108,3195,
归属于母公司所有者的净利润(万元),-4907,767,-10544,2938,-32648,-13202,3415,6417,5258,4958,3134,3239,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),685,-16,-91,-54,-525,-777,-604,299,-25,-2,-26,-44,
基本每股收益,-0.18,0.03,-0.39,0.11,-1.21,-0.49,0.13,0.36,0.5,0.55,0.35,0.36,
稀释每股收益,-0.18,0.03,-0.39,0.11,-1.21,-0.49,0.13,0.36,0.5,0.55,0.35,0.36,
