报告日期,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),773720,689864,700999,
营业收入(万元),--,--,--,
利息收入(万元),1484174,1350938,1158956,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),99562,93720,107504,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),8803,3276,8427,
营业总成本(万元),506545,417215,460952,
营业成本(万元),--,--,--,
利息支出(万元),825027,757127,569144,
手续费及佣金支出(万元),8067,5379,4658,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),5225,1912,7558,
营业税金及附加(万元),9564,6765,22124,
销售费用(万元),286720,260529,244091,
管理费用(万元),--,--,--,
财务费用(万元),--,--,--,
资产减值损失(万元),205036,148009,187179,
公允价值变动收益(万元),24779,-28439,3712,
投资收益(万元),13410,16161,1906,
对联营企业和合营企业的投资收益(万元),5463,5163,2923,
汇兑收益(万元),-28687,12917,-5704,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),267175,272650,240048,
营业外收入(万元),5020,1225,7748,
营业外支出(万元),836,1960,968,
非流动资产处置损失(万元),--,--,--,
利润总额(万元),271359,271915,246827,
所得税费用(万元),39915,56896,48084,
未确认投资损失(万元),--,--,--,
净利润(万元),231444,215019,198743,
归属于母公司所有者的净利润(万元),224196,210980,194953,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),7247,4039,3790,
基本每股收益,0.75,0.7,0.65,
稀释每股收益,0.75,0.7,--,
