报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),35312,30026,24915,24479,30010,27722,24956,25856,19253,17146,
营业收入(万元),35312,30026,24915,24479,30010,27722,24956,25856,19253,17146,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),29845,24993,20484,20157,23475,21688,19766,18928,13973,15342,
营业成本(万元),20424,17596,14873,14697,16340,15071,14361,13800,10497,12667,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1173,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),387,470,505,207,276,216,152,148,7,2,
销售费用(万元),2344,2117,2070,1978,2129,2066,1574,1446,1153,678,
管理费用(万元),5459,4182,2859,2436,3236,3096,2484,2801,1781,1607,
财务费用(万元),-19,-24,171,705,1013,947,1114,641,371,325,
资产减值损失(万元),77,652,5,135,481,292,81,91,164,63,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),718,520,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-62,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),6667,5952,4431,4322,6535,6034,5190,6927,5280,1805,
营业外收入(万元),243,180,352,509,318,375,735,931,204,342,
营业外支出(万元),108,177,26,52,143,171,39,24,51,96,
非流动资产处置损失(万元),--,--,15,22,90,92,36,10,51,6,
利润总额(万元),6802,5955,4757,4780,6710,6238,5886,7835,5433,2051,
所得税费用(万元),1230,887,642,682,871,858,897,1150,834,229,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),5572,5067,4115,4098,5839,5381,4989,6684,4600,1821,
归属于母公司所有者的净利润(万元),5572,5067,4115,4098,5839,5381,4989,6684,4600,1821,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.4,0.37,0.39,0.39,0.56,0.52,0.5,0.67,0.46,0.18,
稀释每股收益,0.4,0.37,0.39,0.39,0.56,0.52,0.5,0.67,0.46,0.18,
