报告日期,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),15967,12282,8693,
营业收入(万元),15928,12242,8685,
利息收入(万元),0,0,0,
已赚保费(万元),0,0,0,
手续费及佣金收入(万元),0,0,0,
房地产销售收入(万元),0,0,0,
其他业务收入(万元),39,40,8,
营业总成本(万元),12705,9540,6081,
营业成本(万元),7961,6339,3959,
利息支出(万元),0,0,0,
手续费及佣金支出(万元),0,0,0,
房地产销售成本(万元),0,0,0,
研发费用(万元),0,0,0,
退保金(万元),0,0,0,
赔付支出净额(万元),0,0,0,
提取保险合同准备金净额(万元),0,0,0,
保单红利支出(万元),0,0,0,
分保费用(万元),0,0,0,
其他业务成本(万元),0,4,1,
营业税金及附加(万元),414,264,112,
销售费用(万元),1801,1460,746,
管理费用(万元),1717,745,711,
财务费用(万元),710,734,532,
资产减值损失(万元),101,-5,21,
公允价值变动收益(万元),0,0,0,
投资收益(万元),0,0,0,
对联营企业和合营企业的投资收益(万元),0,0,0,
汇兑收益(万元),0,0,0,
期货损益(万元),0,0,0,
托管收益(万元),0,0,0,
补贴收入(万元),0,0,0,
其他业务利润(万元),0,0,0,
营业利润(万元),3262,2742,2613,
营业外收入(万元),273,841,5,
营业外支出(万元),0,7,5,
非流动资产处置损失(万元),0,0,0,
利润总额(万元),3534,3576,2613,
所得税费用(万元),570,552,863,
未确认投资损失(万元),0,0,0,
净利润(万元),2965,3024,1751,
归属于母公司所有者的净利润(万元),2965,3024,1751,
被合并方在合并前实现净利润(万元),0,0,0,
少数股东损益(万元),0,0,0,
基本每股收益,0.6,0.71,0.55,
稀释每股收益,0.6,0.71,0.55,
