报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),341542,241779,201015,165643,130892,104144,99978,89288,73584,52127,
营业收入(万元),341542,241779,201015,165643,130892,104144,99978,89288,73584,52127,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),615877,213072,175584,146594,116074,93043,87731,76636,63714,45791,
营业成本(万元),240911,155055,124793,101779,81574,63950,62836,54418,43117,30463,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),24713,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),3693,2491,1974,1599,1397,1053,1203,856,672,419,
销售费用(万元),18597,15074,12966,11119,8566,6572,5435,5257,4832,3235,
管理费用(万元),27665,37513,34257,30618,22438,18870,15476,12953,13316,10759,
财务费用(万元),1868,2031,773,1042,2083,2268,2562,2384,1883,806,
资产减值损失(万元),298430,908,822,437,17,329,220,770,-106,108,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),289,337,570,1220,--,--,--,-33,78,14,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-268974,33113,26001,20269,14818,11102,12247,12618,9947,6350,
营业外收入(万元),843,369,4094,2719,1960,2587,2943,1972,1951,914,
营业外支出(万元),46792,137,163,29,26,24,12,11,13,0,
非流动资产处置损失(万元),--,--,28,14,10,6,4,0,9,--,
利润总额(万元),-314923,33345,29932,22959,16752,13665,15178,14579,11886,7264,
所得税费用(万元),4016,4490,4376,3469,2422,2005,2100,1567,1500,442,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),-318938,28855,25556,19491,14330,11660,13078,13012,10386,6822,
归属于母公司所有者的净利润(万元),-315070,28090,23994,18383,14096,11699,12443,12370,9769,6297,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-3869,765,1562,1108,233,-39,635,642,617,526,
基本每股收益,-3.22,0.38,0.33,0.63,0.59,0.54,0.57,0.59,0.82,0.79,
稀释每股收益,-3.22,0.38,0.33,0.63,0.59,0.54,0.57,0.59,0.79,0.76,
