报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
营业总收入(万元),864268,830774,773739,671261,607956,546248,505400,446799,397500,
营业收入(万元),864268,830774,773739,671261,607956,546248,--,446799,--,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),769012,735526,681969,574394,498691,436881,--,362953,--,
营业成本(万元),646253,623713,576545,464068,383686,330403,--,262433,--,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),1822,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),4923,5419,5043,2746,2423,2249,--,16192,--,
销售费用(万元),4404,5305,2426,3310,3390,2793,--,1878,--,
管理费用(万元),84486,78171,73289,78047,78622,76312,--,66558,--,
财务费用(万元),20577,22519,23791,26099,29575,23826,--,15972,--,
资产减值损失(万元),6547,398,874,124,995,1298,--,-80,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),15686,8568,5994,2229,3272,2603,--,3119,--,
对联营企业和合营企业的投资收益(万元),7948,7190,3778,1409,1460,2189,--,-1446,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),114131,108629,97764,99096,112538,111970,--,86965,--,
营业外收入(万元),4331,1800,7139,5166,7721,3926,--,1333,--,
营业外支出(万元),668,238,547,417,306,565,--,1213,--,
非流动资产处置损失(万元),--,--,232,295,165,277,--,152,--,
利润总额(万元),117793,110191,104355,103845,119952,115331,104500,87085,58000,
所得税费用(万元),28363,25903,25252,25197,28698,27368,--,21041,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),89430,84288,79103,78648,91255,87962,--,66044,--,
归属于母公司所有者的净利润(万元),71871,69705,67088,67249,80680,78644,--,60487,--,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),17560,14582,12015,11398,10575,9318,--,5556,--,
基本每股收益,0.12,0.12,0.12,0.12,0.15,0.16,--,0.12,--,
稀释每股收益,0.12,0.12,0.12,0.12,0.15,0.16,--,0.12,--,
