报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),26410100,24874600,18312700,17706900,24836000,28379700,25026000,20819700,15206300,12131200,10713300,8210700,6424000,5224200,3926700,
营业收入(万元),26410100,24874600,18312700,17706900,24836000,28379700,25026000,20819700,15206300,12131200,10713300,8210700,6424000,5224200,3926700,
利息收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
营业总成本(万元),19189300,17966400,14409900,14561900,19008900,21430600,18369900,14294500,9920800,7764500,7095700,5306900,4013200,3121400,2771300,
营业成本(万元),15550200,14384200,11076900,11042700,16323300,18771300,16021400,12264900,8171200,6148600,5411100,4071600,3013700,2313400,2020900,
利息支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
研发费用(万元),45400,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
营业税金及附加(万元),1005300,964000,692200,583300,405100,484500,476300,434800,373400,378600,271700,183200,150500,121800,82800,
销售费用(万元),72500,61200,61000,58400,79400,103100,86700,112900,83600,82000,67300,52200,43400,50000,29500,
管理费用(万元),1987900,1939400,1793200,1833300,1793500,1812800,1560000,1228100,1013400,914600,830200,662400,576900,459700,363900,
财务费用(万元),408600,345700,505900,466900,346000,210100,214200,237200,246200,186000,386500,266600,207700,169200,250300,
资产减值损失(万元),104200,271900,280700,577300,61600,48800,11300,16600,33000,54700,128900,70900,21000,7300,23900,
公允价值变动收益(万元),2200,-1900,200,-600,-500,-15600,-1400,11400,14900,-17800,47200,28300,-2300,-36800,14500,
投资收益(万元),59300,132100,30200,64400,73300,82000,53400,40900,63000,70000,85300,63800,47000,45200,18900,
对联营企业和合营企业的投资收益(万元),44800,53400,23700,42800,40900,59500,44800,28600,61800,0,0,56700,46600,44000,17800,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
营业利润(万元),7314600,7110200,3933200,3208800,5899900,7015500,6708100,6577500,5363400,4418900,3750100,2995900,2455500,2111200,1188800,
营业外收入(万元),42700,49300,148500,189600,92500,55600,82900,39200,39800,25400,27100,20900,20600,16300,12900,
营业外支出(万元),350400,126200,192100,90200,69100,94300,66200,107400,72800,54200,90100,53900,37700,27300,19400,
非流动资产处置损失(万元),--,--,40900,27600,27400,57900,19700,17400,14700,0,46200,32600,21900,19800,7900,
利润总额(万元),7006900,7033300,3889600,3308200,5923300,6976800,6724800,6509300,5330400,4390100,3687100,2962900,2438400,2100200,1182300,
所得税费用(万元),1602800,1628300,936000,981800,1286000,1406100,1154100,1358600,1079800,915600,705600,648100,523100,395300,247900,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
净利润(万元),5404100,5405000,2953600,2326400,4637300,5570700,5570700,5150700,4250600,3474500,2981500,2314800,1915300,1704900,934400,
归属于母公司所有者的净利润(万元),4386700,4503700,2271200,1614400,3680700,4567800,4766100,4482200,3718700,3027600,2658800,1976600,1643600,1470000,788700,
被合并方在合并前实现净利润(万元),--,--,--,77400,--,98600,--,--,--,0,0,0,1500,0,0,
少数股东损益(万元),1017400,901300,682400,712000,956600,1002900,804600,668500,531900,446900,322700,338200,271700,234900,145700,
基本每股收益,2.21,2.26,1.14,0.81,1.85,2.3,2.4,2.25,1.87,1.52,1.34,1.07,0.91,0.88,0.53,
稀释每股收益,--,2.26,1.14,0.81,1.85,2.3,2.4,2.25,1.87,1.52,1.34,1.07,0.91,0.88,0.53,
