报告日期,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),1337308,1231011,1002300,
营业收入(万元),1337308,1231011,1002300,
利息收入(万元),--,--,--,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),--,--,--,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),--,--,--,
营业总成本(万元),1464891,1283852,1006381,
营业成本(万元),1251923,1092540,853609,
利息支出(万元),--,--,--,
手续费及佣金支出(万元),--,--,--,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),--,--,--,
营业税金及附加(万元),30878,31626,24763,
销售费用(万元),107581,97995,77047,
管理费用(万元),61583,49239,36225,
财务费用(万元),12244,10884,14030,
资产减值损失(万元),683,1567,707,
公允价值变动收益(万元),-17246,--,--,
投资收益(万元),370,1075,1184,
对联营企业和合营企业的投资收益(万元),--,--,--,
汇兑收益(万元),--,--,--,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),-144458,-51765,-2897,
营业外收入(万元),10033,4662,4646,
营业外支出(万元),268,839,115,
非流动资产处置损失(万元),--,--,--,
利润总额(万元),-134693,-47942,1634,
所得税费用(万元),1540,1815,2287,
未确认投资损失(万元),--,--,--,
净利润(万元),-136233,-49757,-653,
归属于母公司所有者的净利润(万元),-124925,-43512,930,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),-11308,-6245,-1583,
基本每股收益,-1.16,-0.4,0.01,
稀释每股收益,-1.16,-0.4,0.01,
