报告日期,2018-12-31,2017-12-31,
营业总收入(万元),7420,4144,
营业收入(万元),7420,4144,
利息收入(万元),--,--,
已赚保费(万元),--,--,
手续费及佣金收入(万元),--,--,
房地产销售收入(万元),--,--,
其他业务收入(万元),--,--,
营业总成本(万元),7265,5021,
营业成本(万元),3304,1838,
利息支出(万元),--,--,
手续费及佣金支出(万元),--,--,
房地产销售成本(万元),--,--,
研发费用(万元),--,--,
退保金(万元),--,--,
赔付支出净额(万元),--,--,
提取保险合同准备金净额(万元),--,--,
保单红利支出(万元),--,--,
分保费用(万元),--,--,
其他业务成本(万元),--,--,
营业税金及附加(万元),271,96,
销售费用(万元),--,--,
管理费用(万元),3741,4354,
财务费用(万元),-108,131,
资产减值损失(万元),58,-1398,
公允价值变动收益(万元),--,--,
投资收益(万元),--,--,
对联营企业和合营企业的投资收益(万元),--,--,
汇兑收益(万元),--,--,
期货损益(万元),--,--,
托管收益(万元),--,--,
补贴收入(万元),--,--,
其他业务利润(万元),--,--,
营业利润(万元),155,-2157,
营业外收入(万元),--,29542,
营业外支出(万元),130,45595,
非流动资产处置损失(万元),--,--,
利润总额(万元),25,-18211,
所得税费用(万元),-4,1102,
未确认投资损失(万元),--,--,
净利润(万元),29,-19313,
归属于母公司所有者的净利润(万元),29,-19313,
被合并方在合并前实现净利润(万元),--,--,
少数股东损益(万元),--,--,
基本每股收益,0,-0.83,
稀释每股收益,0,-0.83,
