报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),201049,219101,215565,232528,189329,162463,127406,88578,68634,42667,
营业收入(万元),201049,219101,215565,232528,189329,162463,127406,88578,68634,42667,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),185252,195924,191352,202442,171547,154377,119434,83037,61891,37780,
营业成本(万元),147035,159090,160908,171246,143670,126123,94027,66954,48973,30203,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1496,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1365,1517,1371,1449,1340,3619,4275,2934,2178,1243,
销售费用(万元),23892,20435,18162,17065,16249,13844,10481,6772,4891,3067,
管理费用(万元),10423,11039,10034,8657,7246,6326,5456,4065,4445,2545,
财务费用(万元),-447,3223,1002,1849,2509,4460,5143,2332,1274,646,
资产减值损失(万元),1488,620,-126,2175,533,5,53,-20,130,75,
公允价值变动收益(万元),-207,207,--,--,--,--,--,--,--,--,
投资收益(万元),3030,3266,1110,1879,47,72,69,100,81,-4,
对联营企业和合营企业的投资收益(万元),813,1354,837,1768,-28,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),23608,29576,25322,31965,17829,8158,8041,5642,6824,4883,
营业外收入(万元),670,506,3290,1924,2266,542,298,463,724,313,
营业外支出(万元),821,169,179,572,153,34,61,47,59,3,
非流动资产处置损失(万元),--,--,102,536,124,10,21,2,2,1,
利润总额(万元),23456,29914,28434,33317,19942,8666,8279,6057,7489,5193,
所得税费用(万元),7733,8777,8830,8597,6125,3929,3730,2602,749,654,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),15723,21137,19604,24720,13816,4737,4549,3455,6740,4538,
归属于母公司所有者的净利润(万元),15803,21153,19548,24627,13751,4650,4485,3437,6643,4209,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-80,-17,56,94,66,87,63,18,97,329,
基本每股收益,0.59,1.59,1.55,1.95,1.09,0.37,0.36,0.27,0.6,--,
稀释每股收益,0.59,1.59,1.55,1.95,1.09,0.37,0.36,0.27,0.6,--,
