报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),260249,241919,221233,147092,80002,44220,
营业收入(万元),260249,241919,221233,147092,80002,44220,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),228732,205192,185412,127792,74047,41308,
营业成本(万元),196252,185608,165828,112711,62791,35895,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),10137,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),1500,1409,1362,680,323,130,
销售费用(万元),5570,4373,3972,4949,2922,1182,
管理费用(万元),5761,12842,11547,7614,6831,4136,
财务费用(万元),1088,841,155,423,185,-122,
资产减值损失(万元),8423,119,2549,1416,995,88,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),390,73,336,144,147,-60,
对联营企业和合营企业的投资收益(万元),-372,73,336,140,92,-68,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),34900,38053,36157,19441,6102,2851,
营业外收入(万元),38,140,1089,516,661,667,
营业外支出(万元),42,206,84,40,48,9,
非流动资产处置损失(万元),--,--,--,--,11,2,
利润总额(万元),34897,37987,37162,19918,6715,3509,
所得税费用(万元),4723,5655,5193,2275,813,561,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),30174,32331,31969,17643,5902,2949,
归属于母公司所有者的净利润(万元),23728,27700,27231,16592,6391,3198,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),6445,4631,4738,1051,-488,-250,
基本每股收益,0.6,0.75,0.74,0.46,0.51,0.26,
稀释每股收益,--,--,--,--,0.51,0.26,
