报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),305050,269617,205495,239537,262751,248630,286134,
营业收入(万元),305050,269617,205495,239537,262751,248630,286134,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),299257,264960,198720,235108,260133,242347,271169,
营业成本(万元),258464,228512,167628,197366,216089,207111,239340,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),5377,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),1494,1395,1253,908,907,807,990,
销售费用(万元),25424,23562,18537,22702,28624,19229,18020,
管理费用(万元),8949,11690,11855,14805,14599,15217,13226,
财务费用(万元),-613,-873,-874,-793,-242,-553,-451,
资产减值损失(万元),161,673,322,120,157,536,43,
公允价值变动收益(万元),--,--,0,-897,299,74,-58,
投资收益(万元),2991,1412,615,989,-155,6,27,
对联营企业和合营企业的投资收益(万元),103,138,-351,-281,-151,-44,4,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),9734,7567,7390,4521,2763,6363,14934,
营业外收入(万元),1148,1050,1771,2991,2728,4054,1789,
营业外支出(万元),464,252,348,316,456,737,615,
非流动资产处置损失(万元),--,--,58,119,38,16,18,
利润总额(万元),10418,8365,8813,7196,5034,9680,16109,
所得税费用(万元),1553,1040,1310,1921,833,2371,3429,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),8865,7325,7503,5274,4202,7309,12680,
归属于母公司所有者的净利润(万元),8865,7325,7621,5515,4258,7317,12680,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),--,--,-117,-241,-56,-8,--,
基本每股收益,0.43,0.39,0.5,0.36,0.28,0.48,0.83,
稀释每股收益,--,--,0.5,0.36,0.28,0.48,0.83,
