报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),105590,112245,104571,90018,70295,59430,48491,41425,
营业收入(万元),105590,112245,104571,90018,70295,59430,48491,41425,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),104570,95196,83729,71854,54958,45742,37845,32256,
营业成本(万元),88882,81855,71932,58179,43970,36202,28858,23817,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),750,851,1003,762,642,1309,1484,1331,
销售费用(万元),1946,2675,1937,1862,1600,1426,1498,1472,
管理费用(万元),11427,10258,8628,10786,8478,6862,5717,5289,
财务费用(万元),-1454,-533,-378,-119,162,-172,59,190,
资产减值损失(万元),3019,90,607,384,105,114,230,158,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),23340,11044,2304,2896,1830,1880,1591,1115,
对联营企业和合营企业的投资收益(万元),320,501,1356,2196,1571,1541,1437,999,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),27434,30798,23145,21060,17167,15568,12237,10284,
营业外收入(万元),50,303,5086,2809,3259,1407,1027,633,
营业外支出(万元),95,46,107,55,4,10,136,19,
非流动资产处置损失(万元),--,--,0,34,2,6,17,13,
利润总额(万元),27390,31056,28125,23814,20422,16965,13127,10898,
所得税费用(万元),4323,5646,4309,3796,3261,2521,2219,1924,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),23066,25410,23816,20017,17161,14444,10908,8974,
归属于母公司所有者的净利润(万元),23494,25712,23628,19277,16140,14026,10474,8493,
被合并方在合并前实现净利润(万元),--,--,--,--,246,257,2533,4440,
少数股东损益(万元),-428,-303,188,740,1021,418,434,482,
基本每股收益,0.63,0.69,0.75,0.69,0.58,0.5,0.37,--,
稀释每股收益,0.63,0.69,0.75,0.69,0.58,0.5,0.37,--,
