报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),73908,63995,43958,33444,27593,23371,20520,18773,
营业收入(万元),73908,63995,43958,33444,27593,23371,20520,18773,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),59290,49819,32006,23921,19574,16936,15481,14928,
营业成本(万元),44318,37621,24972,18529,14972,13091,12144,11645,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),4855,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),791,744,475,183,168,113,134,117,
销售费用(万元),3029,2284,1460,974,758,565,697,613,
管理费用(万元),6070,8382,5383,4366,3442,2858,2358,2571,
财务费用(万元),18,509,-294,-263,224,290,93,-42,
资产减值损失(万元),208,280,9,133,10,19,56,24,
公允价值变动收益(万元),-5,--,27,14,-93,52,-18,19,
投资收益(万元),301,410,379,277,-42,11,18,20,
对联营企业和合营企业的投资收益(万元),-30,-211,-0,--,--,--,--,10,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),15931,15381,12358,9814,7884,6498,5039,3884,
营业外收入(万元),360,78,1778,512,205,392,178,115,
营业外支出(万元),259,451,417,233,125,292,76,203,
非流动资产处置损失(万元),--,--,49,2,5,1,0,1,
利润总额(万元),16033,15008,13719,10093,7964,6598,5140,3795,
所得税费用(万元),2345,2483,2158,1465,1176,872,737,478,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),13688,12525,11561,8628,6788,5726,4403,3317,
归属于母公司所有者的净利润(万元),14656,12659,11602,8651,6799,5726,4404,3317,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),-968,-134,-41,-24,-11,-0,-1,--,
基本每股收益,0.55,0.49,0.46,1.16,1.14,0.96,0.74,0.56,
稀释每股收益,0.55,0.49,0.46,1.16,1.14,0.96,0.74,0.56,
