报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),601610,529959,516408,482949,425562,336638,288828,228430,196238,168022,133341,119702,
营业收入(万元),601610,529959,516408,482949,425562,336638,288828,228430,196238,168022,133341,119702,
利息收入(万元),--,--,0,0,0,--,0,--,--,--,--,--,
已赚保费(万元),--,--,0,0,0,--,0,--,--,--,--,--,
手续费及佣金收入(万元),--,--,0,0,0,--,0,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),575693,504652,489028,464877,407722,320620,275096,215799,186779,160790,129072,114527,
营业成本(万元),467961,413236,415193,401469,355234,278846,244752,188473,165172,141850,113269,102762,
利息支出(万元),--,--,0,0,0,--,0,--,--,--,--,--,
手续费及佣金支出(万元),--,--,0,0,0,--,0,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),16314,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,0,0,0,--,0,--,--,--,--,--,
赔付支出净额(万元),--,--,0,0,0,--,0,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,0,0,0,--,0,--,--,--,--,--,
保单红利支出(万元),--,--,0,0,0,--,0,--,--,--,--,--,
分保费用(万元),--,--,0,0,0,--,0,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2724,1909,439,2823,2453,2671,3644,3500,3025,2447,2207,1739,
销售费用(万元),10832,9863,6622,6390,6782,4536,6442,5356,4607,4639,4395,3706,
管理费用(万元),69605,71925,60046,49246,40513,32271,19520,18579,13796,10939,8301,4772,
财务费用(万元),1390,1457,1787,780,-96,-764,-1299,-1865,-1138,70,65,326,
资产减值损失(万元),6867,6262,4941,4170,2837,3059,2038,1756,1318,843,834,1222,
公允价值变动收益(万元),-8,--,0,0,0,--,0,--,--,0,0,0,
投资收益(万元),139,59,-5,148,210,192,100,350,160,-49,-70,939,
对联营企业和合营企业的投资收益(万元),122,-169,-19,112,199,183,179,241,160,-49,-76,1,
汇兑收益(万元),--,--,0,0,0,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),34511,32270,27375,18220,18050,16210,13832,12981,9619,7183,4200,6113,
营业外收入(万元),145,10,5564,5686,3823,3223,1352,89,90,133,1265,270,
营业外支出(万元),136,157,55,29,39,171,76,41,33,5,34,10,
非流动资产处置损失(万元),--,--,29,5,9,3,7,6,2,3,6,5,
利润总额(万元),34520,32123,32885,23877,21834,19262,15108,13029,9676,7312,5431,6373,
所得税费用(万元),3028,3486,3421,3759,2015,1265,1888,1844,1050,1138,547,603,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),31491,28638,29464,20118,19819,17997,13220,11186,8626,6173,4884,5770,
归属于母公司所有者的净利润(万元),31613,29194,30160,20150,19572,17681,13223,11212,8714,6150,5049,5701,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,0,--,--,--,--,--,
少数股东损益(万元),-122,-556,-696,-32,248,316,-3,-26,-89,23,-164,69,
基本每股收益,0.78,0.7,0.73,0.49,0.71,0.75,0.56,0.57,0.94,0.83,0.68,0.77,
稀释每股收益,0.78,0.7,0.73,0.49,0.71,0.75,0.56,0.57,0.94,0.83,0.68,0.77,
