报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),21908264,21101256,22972215,24191264,11972427,9788630,9045624,8071081,6490892,4639267,3576815,2740096,2352935,2028203,
营业收入(万元),21908264,21101256,22972215,24191264,11972427,9788630,9045624,8071081,6490892,4639267,3576815,2740096,2352935,2028203,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业总成本(万元),20895520,20042295,21626382,22680000,11338652,9332497,8605238,7647260,6224707,4475773,3435709,2666110,2292736,1974042,
营业成本(万元),17052602,16315256,18196468,19302170,9463010,8046890,7394431,6530548,5347797,3876861,2967692,2326600,2008431,1742561,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
研发费用(万元),1089692,--,--,--,--,--,--,--,--,--,--,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业税金及附加(万元),203840,211390,186597,130989,65244,53955,45766,40967,23967,18419,16474,11727,10729,6965,
销售费用(万元),774584,721763,724987,795353,536922,308520,315275,273469,198035,113266,78735,64107,45303,34803,
管理费用(万元),1343088,2391060,2182867,2233161,1111628,854803,761684,692435,572559,419499,334164,235572,192090,163911,
财务费用(万元),127940,125377,100364,66032,48084,45892,49287,94614,35458,20113,25891,23951,25220,13721,
资产减值损失(万元),140748,277449,235099,152295,113764,22437,38794,15227,46891,27615,12752,4154,10963,12080,
公允价值变动收益(万元),41959,-33051,12300,-32,-594,162,-3475,2748,-674,-964,--,--,0,0,
投资收益(万元),205393,269431,161310,80078,80013,49008,58920,69143,64497,35694,23164,22209,2601,2993,
对联营企业和合营企业的投资收益(万元),55831,52624,45335,41896,34930,36379,54095,66803,61179,34374,17837,19232,2531,2425,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业利润(万元),1473483,1474316,1519444,1591310,713195,505303,495831,495711,330008,198223,164271,96195,62800,57153,
营业外收入(万元),98758,101833,203422,211949,105763,125076,76010,53951,46850,50680,34692,31379,9507,6162,
营业外支出(万元),38004,36217,29408,98415,33811,37031,12574,5450,10313,8769,5909,8179,3730,5322,
非流动资产处置损失(万元),--,--,7368,7956,11634,30835,2334,2905,7920,4161,3861,6054,1425,1369,
利润总额(万元),1534237,1539932,1693458,1704843,785146,593347,559267,544213,366545,240134,193053,119395,68578,57993,
所得税费用(万元),234387,238777,302467,295055,121988,85932,74045,69889,41548,28516,24493,12491,6587,9958,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
净利润(万元),1299851,1301155,1390991,1409788,663158,507415,485222,474324,324997,211618,168560,106905,61991,48034,
归属于母公司所有者的净利润(万元),1130504,1079856,1129560,1181840,531497,413997,400946,386415,253144,167815,138424,80735,52763,39311,
被合并方在合并前实现净利润(万元),--,372,--,177641,3840,--,--,69,--,--,--,--,--,--,
少数股东损益(万元),169346,221299,261431,227948,131661,93418,84276,87909,71853,43803,30136,26169,9228,8724,
基本每股收益,0.39,0.38,0.41,0.43,0.39,0.3,0.3,0.33,0.21,0.14,0.16,0.12,0,0,
稀释每股收益,0.39,0.37,0.41,0.43,0.39,0.3,0.3,0.33,0.21,0.14,0.16,--,0,0,
