报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),118500,111882,102849,76867,65785,55949,43280,37166,35732,30869,26258,23347,16344,13689,9316,
营业收入(万元),118500,111882,102849,76867,65785,55949,43280,37166,35732,30869,26258,23347,16344,13689,9316,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),257793,106406,83065,63303,59134,52091,40371,29559,23927,21917,18378,15170,10024,10348,7621,
营业成本(万元),59683,48132,36474,32343,38393,29667,21211,16568,13701,13494,11444,9880,6549,7581,5387,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
研发费用(万元),13784,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业税金及附加(万元),741,1030,734,645,712,1246,1315,986,1094,870,687,546,375,188,70,
销售费用(万元),20606,16921,13402,7974,5341,5166,5875,4704,3034,2936,2298,1688,947,552,268,
管理费用(万元),22778,31733,30438,22345,15078,15254,12786,7987,6718,5901,4356,3211,2314,1838,1429,
财务费用(万元),-437,-829,-544,-535,-1050,-979,-901,-867,-834,-1214,-385,-94,-31,94,94,
资产减值损失(万元),140638,9420,2562,532,661,1737,86,181,215,-68,-21,-62,-129,96,374,
公允价值变动收益(万元),801,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资收益(万元),-81,455,-124,7663,147,-5,114,-235,372,490,176,133,83,357,72,
对联营企业和合营企业的投资收益(万元),-442,-171,-1362,-1236,-195,-5,2,-265,316,490,176,133,83,357,72,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业利润(万元),-136903,7156,19660,21227,6798,3852,3022,7372,12176,9442,8056,8310,6403,3698,1767,
营业外收入(万元),55,35,3528,2113,2128,1823,1750,1558,745,840,1231,285,129,192,105,
营业外支出(万元),838,171,444,21,168,106,113,4,152,26,64,25,27,11,5,
非流动资产处置损失(万元),--,--,86,17,38,66,6,0,18,4,8,0,1,11,1,
利润总额(万元),-137686,7019,22744,23318,8759,5569,4659,8926,12770,10256,9223,8570,6504,3880,1868,
所得税费用(万元),-1064,398,2076,1899,1107,545,722,1234,1395,1288,801,808,448,148,183,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
净利润(万元),-136622,6622,20668,21419,7652,5024,3937,7692,11375,8968,8422,7761,6056,3731,1685,
归属于母公司所有者的净利润(万元),-136586,6635,21153,20946,5630,3957,3629,6621,11073,8719,7836,6331,5011,3291,1606,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
少数股东损益(万元),-35,-13,-485,473,2022,1066,308,1072,302,249,586,1430,1045,440,78,
基本每股收益,-1.24,0.06,0.19,0.48,0.14,0.14,0.13,0.3,0.76,0.78,1.15,1.06,0.84,0.76,0.39,
稀释每股收益,-1.24,0.06,0.19,0.48,0.14,0.14,0.13,0.3,0.76,0.78,1.15,1.06,0.84,0.76,0.39,
