报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),2644977,2785581,1966029,835029,1444905,1718347,1713346,2232644,1941040,1571124,2206138,1628102,1280239,
营业收入(万元),2644977,2785581,1966029,835029,1444905,1718347,1713346,2232644,1941040,1571124,2206138,1628102,1280239,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),2396035,2578034,1890342,942902,1449683,1723227,1746133,2190884,1893145,1551935,2199902,1574797,1243117,
营业成本(万元),2309794,2486012,1791986,893136,1390653,1664356,1681631,2120643,1834378,1501253,2120842,1523700,1196421,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),37034,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),18120,13793,9475,2433,3139,3038,2758,5045,4051,4673,7716,7084,6167,
销售费用(万元),2741,1859,1578,1073,993,933,1023,900,885,958,1445,1225,2369,
管理费用(万元),41575,66394,65619,27678,37427,36886,41174,45002,41344,36802,48250,25199,25335,
财务费用(万元),-15903,-5959,18253,8285,15451,15683,17643,14924,12344,8843,17720,17030,11589,
资产减值损失(万元),2675,15934,3431,10297,2020,2331,1903,4369,143,-594,3930,559,1235,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,885,-885,64,76,
投资收益(万元),5471,3381,14,-79,448,11495,2,27,49,297,-1083,2391,-383,
对联营企业和合营企业的投资收益(万元),133,84,-606,-79,-27,-36,2,27,35,40,33,12,-702,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),268216,221625,75701,-107951,-4329,6615,-32785,41787,47944,20371,4268,55760,36815,
营业外收入(万元),1335,200,6379,948,9039,839,343,706,521,1399,1237,561,109,
营业外支出(万元),3307,844,3880,377,305,378,51,73,814,114,71,4351,329,
非流动资产处置损失(万元),--,--,2465,21,10,1,1,4,31,37,4,3484,-65,
利润总额(万元),266244,220980,78200,-107381,4405,7076,-32494,42419,47652,21656,5434,51970,36596,
所得税费用(万元),70527,39845,4533,842,1992,2943,3741,9878,11277,4600,-288,14482,13421,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),195717,181135,73666,-108223,2413,4133,-36234,32541,36375,17056,5722,37487,23175,
归属于母公司所有者的净利润(万元),193766,179574,72546,-108891,1073,2065,-37935,29986,34820,14656,3672,35615,21268,
被合并方在合并前实现净利润(万元),--,3,--,2665,--,9544,7652,--,--,--,--,--,--,
少数股东损益(万元),1951,1561,1120,668,1340,2068,1701,2556,1556,2400,2050,1872,1907,
基本每股收益,0.57,0.69,0.32,-1.3,0.01,0.02,-0.45,0.36,0.42,0.17,0.04,0.55,0.33,
稀释每股收益,0.57,0.69,0.32,-1.3,0.01,0.02,-0.45,0.36,0.42,0.17,0.04,0.55,0.33,
