报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),348880,313838,303833,292680,295895,339496,335356,288966,
营业收入(万元),348880,313838,303833,292680,295895,339496,335356,288966,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),252521,228040,216866,220957,230394,282501,271771,231530,
营业成本(万元),136325,123534,116162,121960,134424,157594,155554,134373,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),1504,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),54620,49457,47493,45746,46397,50459,49147,38658,
销售费用(万元),45100,40657,38216,38227,35959,61193,56200,50102,
管理费用(万元),16335,15660,16022,17542,15405,14925,12505,9710,
财务费用(万元),-920,-1316,-1422,-2415,-1900,-1809,-1832,-1145,
资产减值损失(万元),-444,48,395,-102,108,139,196,-168,
公允价值变动收益(万元),-9,9,324,-324,--,--,--,--,
投资收益(万元),7272,3914,2328,464,--,--,--,1516,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),104581,90326,89619,71862,65502,56995,63585,58952,
营业外收入(万元),362,875,3168,2292,1640,1177,887,1839,
营业外支出(万元),2064,2285,2135,3141,2101,1938,1851,687,
非流动资产处置损失(万元),--,--,482,1301,444,1462,1350,347,
利润总额(万元),102879,88916,90651,71013,65041,56235,62621,60105,
所得税费用(万元),24947,22209,22320,17973,16385,14010,16027,15084,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),77932,66707,68331,53040,48656,42225,46595,45021,
归属于母公司所有者的净利润(万元),77869,66664,68301,53040,48656,42225,46595,44795,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),63,43,31,--,--,--,--,227,
基本每股收益,0.97,0.83,0.85,0.69,0.68,0.59,0.65,0.62,
稀释每股收益,0.97,0.83,0.85,0.69,0.68,0.59,0.65,0.62,
