报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),269269,274701,221810,299994,330806,367915,282022,243092,
营业收入(万元),269269,274701,221810,299994,330806,367915,282022,243092,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),262768,266746,211716,294904,317201,363675,269847,233882,
营业成本(万元),242588,249609,196675,279191,304321,351679,260279,225279,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),163,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),1228,1081,1264,1067,1562,1799,1477,1350,
销售费用(万元),7771,6037,4618,5515,4940,3871,2629,2011,
管理费用(万元),3435,3477,3748,3053,2208,1980,1711,1625,
财务费用(万元),7944,5629,5393,5060,4114,4156,3663,2347,
资产减值损失(万元),-361,914,19,1019,56,191,88,1271,
公允价值变动收益(万元),-3321,-1804,1028,121,-2625,3361,-703,1232,
投资收益(万元),886,1390,-4370,2440,1850,6340,179,-368,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),4351,7746,6752,7652,12829,13941,11651,10075,
营业外收入(万元),0,386,577,434,470,971,11,242,
营业外支出(万元),201,14,5,4,7,17,1,6,
非流动资产处置损失(万元),--,--,5,3,--,--,--,--,
利润总额(万元),4150,8118,7324,8081,13293,14895,11661,10310,
所得税费用(万元),1355,2475,2452,2346,3445,3783,2926,2598,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),2795,5643,4873,5736,9847,11112,8736,7713,
归属于母公司所有者的净利润(万元),2961,6256,5822,6042,9837,11083,8715,7694,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),-166,-613,-950,-306,10,30,21,19,
基本每股收益,0.2,0.42,0.39,0.4,0.82,0.98,0.77,0.68,
稀释每股收益,0.2,0.42,0.39,0.4,0.82,0.98,0.77,0.68,
