报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),49938,43982,39770,31128,29615,31104,
营业收入(万元),49938,43982,39770,31128,29615,31104,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),46170,37114,31350,25909,22857,21802,
营业成本(万元),24858,20375,17078,13567,11974,11479,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),5804,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),466,548,543,232,374,400,
销售费用(万元),3940,3008,3060,2471,2279,2516,
管理费用(万元),10985,11694,9571,7987,6820,6441,
财务费用(万元),-60,372,605,859,848,620,
资产减值损失(万元),175,1117,493,793,562,346,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),534,41,-26,-16,--,--,
对联营企业和合营企业的投资收益(万元),1,41,-26,-16,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),5758,10262,8395,5203,6758,9302,
营业外收入(万元),361,64,2184,3273,718,917,
营业外支出(万元),22,66,23,8,6,49,
非流动资产处置损失(万元),--,--,11,8,6,42,
利润总额(万元),6097,10260,10556,8467,7470,10170,
所得税费用(万元),553,1281,1438,1318,1481,1683,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),5544,8979,9118,7149,5989,8487,
归属于母公司所有者的净利润(万元),5544,8979,9118,5371,4406,6702,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),--,--,--,1778,1582,1784,
基本每股收益,0.22,0.69,0.73,--,--,--,
稀释每股收益,0.22,0.69,0.73,--,--,--,
